type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-43,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9464799,0,30,0,0,9.63011,128,[30 -32 1 0 7 -23 7 -24 7 -23 6 -23 6 -24 5 -23 5 -23 4 -23 4 -24 4 -24 3 -23 3 -23 3 -23 4 -23 4 -23 5 -23 5 -23 5 -22 5 -22 6 -21 6 -21 6 -20 6 -19 7 -19 8 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -23 5 -23 6 -24 6 -23 7 -23 8 -23 8 -24 9 -24 10 -24 10 -24 11 -24 11 -24 11 -23 11 -23 11 -23 11 -23 10 -22 10 -22 10 -23 10 -23 9 -23 9 -23 9 -22 9 -24 8 -25 7 -25 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-41,11,1,5,0,1,1,0,0,0,0,-96,0,11,0,9469835,0,228,0,0,9.6363,256,[-28 64 14 0 6 -22 6 -23 6 -22 6 -23 5 -22 5 -22 5 -22 4 -21 4 -21 3 -22 3 -22 3 -22 3 -22 3 -21 3 -22 3 -21 4 -22 5 -21 5 -20 5 -20 5 -19 5 -18 5 -18 6 -18 6 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -19 5 -19 6 -19 6 -19 6 -19 7 -20 7 -20 8 -21 8 -21 8 -21 9 -21 10 -21 9 -21 10 -21 9 -21 9 -20 9 -21 9 -21 8 -22 9 -21 8 -21 7 -22 7 -22 7 -22 7 -23 7 -23 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-40,11,1,5,0,1,1,0,0,0,0,-96,0,11,0,9469931,0,228,0,0,9.64162,256,[-28 64 14 0 25 -5 24 -6 24 -5 24 -6 23 -6 23 -7 23 -7 22 -7 22 -7 21 -8 22 -8 21 -8 21 -8 22 -8 22 -8 22 -8 22 -7 21 -7 21 -6 20 -6 20 -5 19 -5 19 -4 19 -4 19 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 -4 20 -3 21 -3 21 -3 21 -2 22 -2 22 -2 23 -2 23 -1 24 -1 24 -1 24 0 24 -1 24 0 24 -1 24 -1 23 -1 24 -1 24 -2 24 -2 23 -3 24 -4 24 -3 24 -4 25 -4 24 -5 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-40,11,1,5,0,1,1,0,0,0,0,-96,0,11,0,9470025,0,228,0,0,9.64691,256,[-28 64 14 0 -26 3 -26 3 -25 2 -25 3 -24 3 -25 4 -24 4 -23 4 -23 5 -23 5 -23 6 -23 6 -23 6 -23 5 -23 5 -23 5 -23 5 -23 4 -22 3 -22 3 -21 2 -21 2 -20 2 -20 1 -20 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -21 2 -22 1 -22 1 -22 0 -22 0 -23 0 -24 0 -24 -1 -25 -1 -25 -1 -25 -2 -25 -2 -25 -2 -25 -2 -25 -2 -25 -2 -25 -2 -25 -1 -25 -1 -25 -1 -24 0 -25 1 -25 1 -25 1 -26 1 -27 2 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-40,11,1,5,0,1,1,0,0,0,0,-96,0,11,0,9470120,0,228,0,0,9.65234,256,[-28 64 14 0 -19 -18 -19 -18 -19 -17 -19 -17 -19 -15 -20 -16 -19 -15 -19 -14 -19 -14 -19 -14 -19 -14 -20 -14 -20 -14 -19 -14 -20 -14 -19 -14 -19 -14 -18 -14 -17 -14 -17 -14 -16 -14 -15 -14 -15 -14 -14 -15 -14 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -14 -16 -14 -16 -15 -16 -15 -16 -16 -17 -17 -16 -17 -17 -17 -17 -18 -17 -19 -16 -19 -16 -20 -16 -20 -16 -20 -16 -20 -16 -19 -16 -19 -16 -19 -17 -19 -17 -18 -18 -17 -18 -18 -18 -18 -18 -18 -19 -18 -20 -17 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-40,11,1,5,0,1,1,0,0,0,0,-96,0,11,0,9470216,0,228,0,0,9.65875,256,[-28 64 14 0 -3 -26 -3 -25 -2 -26 -3 -25 -3 -25 -4 -25 -4 -24 -5 -24 -4 -24 -5 -23 -5 -24 -5 -23 -6 -23 -5 -23 -5 -24 -5 -23 -4 -23 -4 -23 -3 -22 -3 -22 -3 -21 -2 -21 -1 -21 -1 -20 0 -20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -21 -2 -21 -2 -22 -1 -22 -1 -22 -1 -23 -1 -24 0 -24 0 -25 0 -25 1 -25 2 -25 2 -25 2 -25 2 -25 1 -25 1 -24 1 -25 0 -25 0 -25 -1 -24 -1 -25 -1 -25 -1 -25 -1 -26 -2 -27 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-41,11,1,0,0,1,1,0,0,0,0,-96,0,11,0,9470368,0,224,0,0,9.66469,256,[-32 0 14 0 19 14 21 14 19 13 20 12 20 12 20 12 19 11 19 11 19 10 19 10 20 10 20 9 20 10 19 10 20 10 19 10 19 11 19 11 18 11 17 11 16 11 15 11 15 11 15 11 14 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 10 17 10 16 11 17 11 17 12 18 13 17 13 18 13 18 15 18 14 18 15 18 15 17 15 18 16 18 16 17 15 17 15 17 15 18 15 18 14 18 14 19 14 19 13 20 14 20 14 21 12 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-43,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9480691,0,30,0,0,9.66999,128,[30 -32 1 0 -12 21 -11 22 -10 20 -10 21 -9 21 -9 21 -8 21 -8 21 -7 21 -7 22 -7 22 -7 22 -6 23 -6 22 -7 22 -7 22 -7 22 -7 21 -8 21 -8 20 -8 20 -8 19 -9 19 -9 18 -9 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 19 -12 19 -12 19 -13 19 -13 19 -14 19 -15 19 -15 19 -16 20 -16 19 -16 19 -17 19 -16 18 -16 18 -16 18 -16 18 -15 18 -14 18 -14 19 -14 19 -13 19 -13 19 -13 19 -12 20 -13 21 -12 20 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-37,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9480863,0,30,0,0,9.67559,128,[30 -32 1 0 -15 -23 -15 -21 -13 -21 -14 -21 -15 -20 -15 -20 -14 -19 -15 -19 -15 -19 -15 -19 -16 -18 -16 -18 -16 -18 -16 -18 -15 -18 -15 -18 -14 -19 -14 -18 -14 -18 -13 -18 -12 -17 -11 -17 -11 -17 -10 -17 -9 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -18 -11 -18 -11 -20 -11 -19 -10 -19 -11 -20 -11 -21 -11 -22 -12 -22 -10 -23 -9 -23 -10 -24 -10 -22 -10 -23 -10 -22 -10 -23 -10 -22 -10 -22 -12 -22 -12 -22 -12 -21 -13 -21 -12 -22 -13 -22 -14 -23 -14 -22 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-43,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9481061,0,30,0,0,9.68196,128,[30 -32 1 0 -25 6 -23 6 -23 6 -23 6 -22 7 -22 8 -22 8 -22 8 -22 9 -22 9 -22 9 -22 9 -22 10 -22 9 -21 9 -22 9 -22 8 -21 8 -21 7 -21 7 -21 6 -21 6 -20 5 -20 5 -20 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -22 5 -22 4 -23 4 -23 3 -23 3 -24 2 -24 2 -25 2 -26 2 -25 1 -26 0 -26 0 -25 0 -25 0 -25 0 -25 1 -24 1 -24 1 -24 2 -25 2 -23 3 -24 3 -24 3 -24 4 -25 4 -24 4 ]
