subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,timestamp
124.0,-64.0,7.0,-17.0,19.0,-13.0,-13.0,6.0,1414.04
-128.0,0.0,8.0,-4.0,-8.0,-11.0,-16.0,-1.0,1414.07
-51.0,-48.0,12.0,-17.0,7.0,-11.0,-11.0,10.0,1414.07
74.0,-95.0,20.0,-9.0,2.0,-6.0,-9.0,4.0,1414.08
94.0,-31.0,21.0,4.0,-13.0,1.0,-2.0,-12.0,1414.08
100.0,65.0,22.0,13.0,-3.0,11.0,13.0,-12.0,1414.09
-98.0,-32.0,9.0,-9.0,9.0,-1.0,0.0,10.0,1414.09
-98.0,-32.0,9.0,-15.0,-5.0,-9.0,-10.0,1.0,1414.1
124.0,-64.0,7.0,8.0,-7.0,4.0,6.0,-13.0,1414.1
-51.0,-48.0,12.0,8.0,6.0,9.0,9.0,2.0,1414.11
94.0,-32.0,5.0,6.0,10.0,6.0,9.0,6.0,1414.11
-93.0,48.0,10.0,24.0,14.0,14.0,7.0,6.0,1414.15
-108.0,64.0,9.0,12.0,18.0,12.0,23.0,8.0,1414.15
-73.0,112.0,11.0,31.0,-2.0,24.0,18.0,-6.0,1414.16
94.0,-32.0,5.0,-15.0,9.0,-13.0,-11.0,12.0,1414.17
94.0,-32.0,5.0,0.0,24.0,-11.0,-3.0,20.0,1414.22
-108.0,64.0,9.0,-14.0,-19.0,-3.0,-14.0,-18.0,1414.23
94.0,-32.0,5.0,-12.0,25.0,-13.0,-12.0,17.0,1414.23
94.0,-32.0,5.0,-25.0,-6.0,-15.0,-20.0,-2.0,1414.24
98.0,32.0,6.0,-2.0,11.0,-2.0,5.0,2.0,1414.26
98.0,32.0,6.0,8.0,16.0,12.0,14.0,12.0,1414.26
108.0,-64.0,6.0,9.0,4.0,9.0,13.0,3.0,1414.27
94.0,-32.0,5.0,9.0,-7.0,9.0,12.0,-10.0,1414.28
94.0,-32.0,5.0,7.0,-11.0,2.0,2.0,-18.0,1414.28
-128.0,0.0,8.0,-4.0,-9.0,-6.0,-10.0,-8.0,1414.29
-48.0,0.0,13.0,-7.0,5.0,-10.0,-8.0,6.0,1414.29
-108.0,64.0,9.0,10.0,-1.0,7.0,7.0,-7.0,1414.3
94.0,-32.0,5.0,-9.0,-3.0,-11.0,-13.0,-6.0,1414.3
94.0,-32.0,5.0,-5.0,5.0,-12.0,-13.0,8.0,1414.31
108.0,-64.0,6.0,6.0,3.0,8.0,14.0,-1.0,1414.31
-51.0,-48.0,12.0,9.0,1.0,12.0,11.0,2.0,1414.32
108.0,-64.0,6.0,-12.0,-18.0,-9.0,-13.0,-9.0,1414.32
98.0,32.0,6.0,8.0,-3.0,8.0,15.0,-12.0,1414.33
108.0,-64.0,6.0,-13.0,-7.0,-12.0,-17.0,1.0,1414.37
94.0,-32.0,5.0,-4.0,4.0,-4.0,0.0,11.0,1414.38
94.0,-32.0,5.0,2.0,9.0,2.0,7.0,12.0,1414.38
20.0,65.0,17.0,9.0,-4.0,12.0,12.0,-10.0,1414.39
94.0,-31.0,21.0,-2.0,-1.0,-6.0,-4.0,8.0,1414.4
74.0,-95.0,20.0,28.0,3.0,33.0,17.0,5.0,1414.41
-48.0,0.0,13.0,6.0,13.0,14.0,14.0,23.0,1414.43
98.0,32.0,6.0,-14.0,-13.0,-15.0,-15.0,-4.0,1414.45
98.0,32.0,6.0,-22.0,-15.0,-18.0,-12.0,-13.0,1414.45
94.0,-32.0,5.0,13.0,2.0,14.0,15.0,-1.0,1414.48
74.0,-95.0,20.0,7.0,-19.0,5.0,1.0,-16.0,1414.48
94.0,-31.0,21.0,9.0,15.0,8.0,6.0,9.0,1414.49
-48.0,0.0,13.0,-10.0,6.0,-16.0,-18.0,9.0,1414.49
98.0,32.0,6.0,15.0,-5.0,13.0,16.0,-6.0,1414.5
98.0,32.0,6.0,-7.0,14.0,-8.0,-5.0,16.0,1414.5
98.0,32.0,6.0,-5.0,-14.0,-11.0,-10.0,-12.0,1414.51
98.0,32.0,6.0,17.0,2.0,14.0,18.0,-1.0,1414.51
94.0,-32.0,5.0,-16.0,9.0,-12.0,-12.0,18.0,1414.52
-93.0,48.0,10.0,5.0,17.0,8.0,7.0,14.0,1414.52
98.0,32.0,6.0,-7.0,-6.0,-9.0,-10.0,3.0,1414.53
124.0,-64.0,7.0,-4.0,22.0,-1.0,-1.0,10.0,1414.54
94.0,-32.0,5.0,-12.0,-18.0,-19.0,-29.0,-11.0,1414.55
124.0,-64.0,7.0,-6.0,17.0,-3.0,-12.0,14.0,1414.55
124.0,-64.0,7.0,-4.0,-27.0,-5.0,1.0,-16.0,1414.56
124.0,-64.0,7.0,7.0,-16.0,6.0,2.0,-10.0,1414.56
124.0,-64.0,7.0,14.0,13.0,17.0,12.0,13.0,1414.57
-128.0,0.0,8.0,-1.0,-5.0,5.0,2.0,-2.0,1414.57
124.0,-64.0,7.0,-13.0,9.0,-13.0,-14.0,14.0,1414.58
94.0,-32.0,5.0,-7.0,-16.0,-7.0,-8.0,-18.0,1414.58
124.0,-64.0,7.0,-14.0,-2.0,-18.0,-18.0,1.0,1414.59
124.0,-64.0,7.0,7.0,-13.0,2.0,7.0,-19.0,1414.59
124.0,-64.0,7.0,12.0,4.0,16.0,17.0,0.0,1414.6
124.0,-64.0,7.0,-6.0,10.0,-9.0,-11.0,17.0,1414.61
-98.0,-32.0,9.0,-7.0,-12.0,-5.0,-8.0,-15.0,1414.61
-128.0,0.0,8.0,11.0,-7.0,13.0,16.0,-11.0,1414.62
94.0,-32.0,5.0,-8.0,-18.0,-9.0,-12.0,-15.0,1414.62
94.0,-32.0,5.0,-17.0,-1.0,-16.0,-15.0,1.0,1414.63
94.0,-32.0,5.0,-2.0,-23.0,-6.0,-5.0,-18.0,1414.63
98.0,32.0,6.0,8.0,2.0,13.0,8.0,-17.0,1414.64
94.0,-32.0,5.0,-3.0,14.0,3.0,11.0,14.0,1414.64
-51.0,-48.0,12.0,-11.0,5.0,-4.0,-3.0,-3.0,1414.65
-93.0,48.0,10.0,15.0,6.0,21.0,16.0,11.0,1414.65
-93.0,48.0,10.0,-2.0,-8.0,-7.0,-10.0,-5.0,1414.66
-122.0,97.0,24.0,0.0,-21.0,-5.0,1.0,-20.0,1414.67
-122.0,97.0,24.0,-1.0,3.0,2.0,-10.0,10.0,1414.67
98.0,32.0,6.0,5.0,-12.0,3.0,-2.0,-11.0,1414.68
94.0,-32.0,5.0,4.0,-15.0,0.0,11.0,-13.0,1414.68
94.0,-32.0,5.0,-15.0,-4.0,-18.0,-16.0,-1.0,1414.69
120.0,-128.0,7.0,-8.0,12.0,-7.0,-8.0,18.0,1414.69
94.0,-32.0,5.0,-16.0,-6.0,-17.0,-19.0,3.0,1414.7
94.0,-32.0,5.0,-7.0,11.0,-8.0,-7.0,19.0,1414.7
-98.0,-32.0,9.0,10.0,13.0,14.0,15.0,6.0,1414.71
98.0,32.0,6.0,-20.0,-1.0,-16.0,-19.0,2.0,1414.74
98.0,32.0,6.0,15.0,-8.0,5.0,14.0,-11.0,1414.74
120.0,-127.0,23.0,-1.0,-19.0,-12.0,-18.0,-18.0,1414.76
94.0,-32.0,5.0,16.0,-2.0,22.0,18.0,-6.0,1414.76
100.0,65.0,22.0,-1.0,-14.0,-6.0,-6.0,-15.0,1414.78
94.0,-32.0,5.0,9.0,0.0,15.0,12.0,-1.0,1414.79
120.0,-127.0,23.0,14.0,-7.0,10.0,13.0,-11.0,1414.79
94.0,-32.0,5.0,12.0,0.0,11.0,12.0,-6.0,1414.8
-93.0,48.0,10.0,3.0,-18.0,3.0,1.0,-17.0,1414.8
-128.0,0.0,8.0,8.0,14.0,10.0,14.0,7.0,1414.81
94.0,-32.0,5.0,16.0,-3.0,12.0,18.0,-6.0,1414.82
94.0,-32.0,5.0,1.0,-13.0,0.0,-3.0,-11.0,1414.82
86.0,96.0,5.0,-13.0,-5.0,-18.0,-12.0,0.0,1414.83
-128.0,0.0,8.0,1.0,-8.0,-2.0,0.0,-15.0,1414.83
-128.0,0.0,8.0,3.0,12.0,6.0,12.0,10.0,1414.84
-85.0,-80.0,10.0,1.0,8.0,2.0,1.0,7.0,1414.84
94.0,-32.0,5.0,6.0,18.0,0.0,3.0,16.0,1414.85
-98.0,-32.0,9.0,3.0,4.0,5.0,6.0,-4.0,1414.87
98.0,32.0,6.0,10.0,5.0,9.0,17.0,-3.0,1414.87
-108.0,64.0,9.0,-7.0,-9.0,-8.0,-8.0,-6.0,1414.88
115.0,48.0,7.0,-2.0,15.0,4.0,1.0,12.0,1414.89
-11.0,81.0,31.0,11.0,-14.0,12.0,6.0,-9.0,1414.9
108.0,-64.0,6.0,-10.0,5.0,-11.0,-10.0,16.0,1414.9
9.0,-110.0,32.0,-12.0,-1.0,-11.0,-15.0,6.0,1414.91
-51.0,-48.0,12.0,1.0,-14.0,-6.0,-3.0,-12.0,1414.91
-51.0,-48.0,12.0,2.0,-14.0,3.0,0.0,-11.0,1414.92
-10.0,96.0,15.0,9.0,-15.0,4.0,1.0,-13.0,1414.92
-98.0,-32.0,9.0,13.0,-12.0,8.0,7.0,-12.0,1414.93
94.0,-32.0,5.0,5.0,8.0,7.0,6.0,7.0,1414.93
-34.0,-32.0,13.0,15.0,15.0,13.0,10.0,13.0,1414.94
107.0,-80.0,6.0,-4.0,-17.0,3.0,10.0,-13.0,1414.94
94.0,-32.0,5.0,4.0,-15.0,5.0,4.0,-4.0,1414.95
94.0,-32.0,5.0,-18.0,-21.0,-11.0,-9.0,-8.0,1414.96
108.0,-64.0,6.0,-11.0,-21.0,-7.0,-12.0,-13.0,1414.96
-11.0,81.0,31.0,-21.0,-18.0,-13.0,-2.0,-8.0,1414.97
9.0,-110.0,32.0,8.0,11.0,8.0,3.0,8.0,1414.97
-10.0,96.0,15.0,2.0,-12.0,5.0,4.0,-15.0,1414.98
-98.0,-32.0,9.0,12.0,-7.0,13.0,17.0,0.0,1414.98
94.0,-32.0,5.0,-5.0,17.0,-5.0,-3.0,7.0,1414.99
