Subcarrier,Lag,Cross-Correlation
1,-32,43.86342439892262
1,-31,87.72684879784524
1,-30,131.59027319676784
1,-29,175.45369759569047
1,-28,219.3171219946131
1,-27,263.18054639353574
1,-26,307.04397079245837
1,-25,350.907395191381
1,-24,394.77081959030363
1,-23,438.63424398922626
1,-22,482.4976683881489
1,-21,526.3610927870715
1,-20,570.224517185994
1,-19,614.0879415849166
1,-18,657.9513659838392
1,-17,701.8147903827619
1,-16,745.6782147816845
1,-15,789.541639180607
1,-14,833.4050635795296
1,-13,877.2684879784522
1,-12,921.1319123773748
1,-11,964.9953367762973
1,-10,1008.8587611752199
1,-9,1052.7221855741425
1,-8,1096.5856099730652
1,-7,1140.4490343719879
1,-6,1184.3124587709106
1,-5,1228.1758831698332
1,-4,1272.039307568756
1,-3,1315.9027319676786
1,-2,1359.7661563666013
1,-1,1403.6295807655238
1,0,1447.4930051644465
1,1,1403.6295807655238
1,2,1359.7661563666013
1,3,1315.9027319676786
1,4,1272.039307568756
1,5,1228.1758831698332
1,6,1184.3124587709106
1,7,1140.4490343719879
1,8,1096.5856099730652
1,9,1052.7221855741425
1,10,1008.8587611752199
1,11,964.9953367762973
1,12,921.1319123773748
1,13,877.2684879784522
1,14,833.4050635795296
1,15,789.541639180607
1,16,745.6782147816845
1,17,701.8147903827619
1,18,657.9513659838392
1,19,614.0879415849166
1,20,570.224517185994
1,21,526.3610927870715
1,22,482.4976683881489
1,23,438.63424398922626
1,24,394.77081959030363
1,25,350.907395191381
1,26,307.04397079245837
1,27,263.18054639353574
1,28,219.3171219946131
1,29,175.45369759569047
1,30,131.59027319676784
1,31,87.72684879784524
1,32,43.86342439892262
2,-32,1.0
2,-31,2.0
2,-30,3.0
2,-29,4.0
2,-28,5.0
2,-27,6.0
2,-26,7.0
2,-25,8.0
2,-24,9.0
2,-23,10.0
2,-22,11.0
2,-21,12.0
2,-20,13.0
2,-19,14.0
2,-18,15.0
2,-17,16.0
2,-16,17.0
2,-15,18.0
2,-14,19.0
2,-13,20.0
2,-12,21.0
2,-11,22.0
2,-10,23.0
2,-9,24.0
2,-8,25.0
2,-7,26.0
2,-6,27.0
2,-5,28.0
2,-4,29.0
2,-3,30.0
2,-2,31.0
2,-1,32.0
2,0,33.0
2,1,32.0
2,2,31.0
2,3,30.0
2,4,29.0
2,5,28.0
2,6,27.0
2,7,26.0
2,8,25.0
2,9,24.0
2,10,23.0
2,11,22.0
2,12,21.0
2,13,20.0
2,14,19.0
2,15,18.0
2,16,17.0
2,17,16.0
2,18,15.0
2,19,14.0
2,20,13.0
2,21,12.0
2,22,11.0
2,23,10.0
2,24,9.0
2,25,8.0
2,26,7.0
2,27,6.0
2,28,5.0
2,29,4.0
2,30,3.0
2,31,2.0
2,32,1.0
3,-32,-1.0622680056770015
3,-31,-0.825341062811804
3,-30,-2.1939449307922607
3,-29,-1.3116757621043773
3,-28,-0.08961967540814175
3,-27,1.577620067165235
3,-26,1.8648780649436445
3,-25,0.4235036326824593
3,-24,-0.23159239082288674
3,-23,-0.6947851450614544
3,-22,-1.0713348349644323
3,-21,1.5671418598753177
3,-20,1.0343726479688717
3,-19,1.068780296929316
3,-18,1.9510494656171995
3,-17,1.4878567113786318
3,-16,0.335976746531891
3,-15,0.02848233209151957
3,-14,-0.19301321881748582
3,-13,0.8355160101794041
3,-12,0.9376444003446556
3,-11,0.19472341515217795
3,-10,1.8619631577255547
3,-9,1.1893322577168375
3,-8,-0.6385807129000161
3,-7,0.38994851609687387
3,-6,0.288261416102942
3,-5,-0.48989550450486175
3,-4,0.06382473908326625
3,-3,-1.1420155497355378
3,-2,-0.9555383209532389
3,-1,-0.7186113780880419
3,0,-4.551914400963142e-14
3,1,1.0622680056769565
3,2,0.8253410628117587
3,3,2.1939449307922163
3,4,1.3116757621043331
3,5,0.08961967540809679
3,6,-1.5776200671652798
3,7,-1.8648780649436894
3,8,-0.42350363268250457
3,9,0.23159239082284155
3,10,0.6947851450614096
3,11,1.0713348349643876
3,12,-1.5671418598753621
3,13,-1.0343726479689168
3,14,-1.0687802969293607
3,15,-1.9510494656172443
3,16,-1.487856711378677
3,17,-0.3359767465319361
3,18,-0.028482332091564477
3,19,0.1930132188174406
3,20,-0.8355160101794492
3,21,-0.9376444003447004
3,22,-0.1947234151522227
3,23,-1.8619631577255997
3,24,-1.1893322577168826
3,25,0.6385807128999711
3,26,-0.38994851609691894
3,27,-0.28826141610298706
3,28,0.4898955045048168
3,29,-0.06382473908331121
3,30,1.142015549735493
3,31,0.9555383209531939
3,32,0.7186113780879964
4,-32,-1.4452455646574638
4,-31,-0.9275718211736127
4,-30,-1.8279799269112917
4,-29,-1.3103061834274405
4,-28,0.5718670509740973
4,-27,2.1499943612617356
4,-26,2.3043945811718776
4,-25,0.3720287594946652
4,-24,-0.6860289475470307
4,-23,-1.318517948564955
4,-22,-2.0177139508870376
4,-21,0.045269354981647414
4,-20,0.17813939489884456
4,-19,0.18144469997583015
4,-18,1.0991898490812273
4,-17,0.7317491424163003
4,-16,0.7350544474932859
4,-15,0.6950242317435549
4,-14,0.23954739639430767
4,-13,0.11262295060900346
4,-12,-0.01430149517630075
4,-11,-1.1855948709386364
4,-10,0.39253243934900217
4,-9,-0.06294439600024504
4,-8,-1.5311610442596608
4,-7,-0.21934263388147968
4,-6,0.4464410893641446
4,-5,-0.724852286398191
4,-4,0.10917491516103395
4,-3,-0.5900210871610488
4,-2,-0.716945532946353
4,-1,-1.0843862396112813
4,0,-2.6867397195928788e-14
4,1,1.445245564657437
4,2,0.9275718211735868
4,3,1.8279799269112655
4,4,1.3103061834274141
4,5,-0.5718670509741237
4,6,-2.1499943612617622
4,7,-2.3043945811719047
4,8,-0.37202875949469205
4,9,0.6860289475470038
4,10,1.318517948564928
4,11,2.017713950887011
4,12,-0.04526935498167384
4,13,-0.17813939489887098
4,14,-0.181444699975857
4,15,-1.099189849081254
4,16,-0.7317491424163265
4,17,-0.7350544474933121
4,18,-0.6950242317435809
4,19,-0.23954739639433376
4,20,-0.11262295060902971
4,21,0.01430149517627477
4,22,1.1855948709386104
4,23,-0.3925324393490284
4,24,0.06294439600021895
4,25,1.5311610442596346
4,26,0.21934263388145347
4,27,-0.4464410893641708
4,28,0.7248522863981648
4,29,-0.10917491516106015
4,30,0.5900210871610226
4,31,0.7169455329463268
4,32,1.0843862396112545
5,-32,-0.5472461060056558
5,-31,0.5223391982554481
5,-30,-0.4061379499576442
5,-29,0.09294645454347683
5,-28,0.9947766930168594
5,-27,2.8268692405877367
5,-26,2.960251682499367
5,-25,1.506397364234706
5,-24,0.41921674643987905
5,-23,-0.23955029064987
5,-22,-0.9654702571780361
5,-21,0.9882810336775253
5,-20,1.0999893689797118
5,-19,0.44122233188996274
5,-18,1.3430525703633454
5,-17,0.9511056430144613
5,-16,-0.5489757782888629
5,-15,-0.6113235156880241
5,-14,-1.0918950824598912
5,-13,0.24806112989754148
5,-12,0.0982382851767643
5,-11,-0.051584559544012865
5,-10,1.5150424139835645
5,-9,0.06118809571890327
5,-8,-1.1399851573742377
5,-7,0.1585526738622527
5,-6,0.8067371552011511
5,-5,-0.39443609789198986
5,-4,1.0693943962427728
5,-3,0.3434744297146066
5,-2,0.19365158499382945
5,-1,-0.19829534235505397
5,0,3.6914915568786455e-14
5,1,0.5472461060056928
5,2,-0.5223391982554113
5,3,0.4061379499576808
5,4,-0.09294645454344003
5,5,-0.9947766930168227
5,6,-2.8268692405877
5,7,-2.96025168249933
5,8,-1.5063973642346695
5,9,-0.41921674643984225
5,10,0.23955029064990668
5,11,0.9654702571780724
5,12,-0.9882810336774885
5,13,-1.099989368979675
5,14,-0.4412223318899256
5,15,-1.3430525703633085
5,16,-0.9511056430144249
5,17,0.5489757782888995
5,18,0.6113235156880604
5,19,1.0918950824599274
5,20,-0.2480611298975049
5,21,-0.09823828517672767
5,22,0.05158455954404956
5,23,-1.5150424139835283
5,24,-0.061188095718866686
5,25,1.1399851573742739
5,26,-0.1585526738622161
5,27,-0.8067371552011147
5,28,0.3944360978920264
5,29,-1.0693943962427364
5,30,-0.34347442971457004
5,31,-0.19365158499379287
5,32,0.1982953423550909
