Subcarrier,Lag,Cross-Correlation
1,-32,-1.0622680056770015
1,-31,-0.825341062811804
1,-30,-2.1939449307922607
1,-29,-1.3116757621043773
1,-28,-0.08961967540814175
1,-27,1.577620067165235
1,-26,1.8648780649436445
1,-25,0.4235036326824593
1,-24,-0.23159239082288674
1,-23,-0.6947851450614544
1,-22,-1.0713348349644323
1,-21,1.5671418598753177
1,-20,1.0343726479688717
1,-19,1.068780296929316
1,-18,1.9510494656171995
1,-17,1.4878567113786318
1,-16,0.335976746531891
1,-15,0.02848233209151957
1,-14,-0.19301321881748582
1,-13,0.8355160101794041
1,-12,0.9376444003446556
1,-11,0.19472341515217795
1,-10,1.8619631577255547
1,-9,1.1893322577168375
1,-8,-0.6385807129000161
1,-7,0.38994851609687387
1,-6,0.288261416102942
1,-5,-0.48989550450486175
1,-4,0.06382473908326625
1,-3,-1.1420155497355378
1,-2,-0.9555383209532389
1,-1,-0.7186113780880419
1,0,-4.551914400963142e-14
1,1,1.0622680056769565
1,2,0.8253410628117587
1,3,2.1939449307922163
1,4,1.3116757621043331
1,5,0.08961967540809679
1,6,-1.5776200671652798
1,7,-1.8648780649436894
1,8,-0.42350363268250457
1,9,0.23159239082284155
1,10,0.6947851450614096
1,11,1.0713348349643876
1,12,-1.5671418598753621
1,13,-1.0343726479689168
1,14,-1.0687802969293607
1,15,-1.9510494656172443
1,16,-1.487856711378677
1,17,-0.3359767465319361
1,18,-0.028482332091564477
1,19,0.1930132188174406
1,20,-0.8355160101794492
1,21,-0.9376444003447004
1,22,-0.1947234151522227
1,23,-1.8619631577255997
1,24,-1.1893322577168826
1,25,0.6385807128999711
1,26,-0.38994851609691894
1,27,-0.28826141610298706
1,28,0.4898955045048168
1,29,-0.06382473908331121
1,30,1.142015549735493
1,31,0.9555383209531939
1,32,0.7186113780879964
2,-32,-1.4452455646574638
2,-31,-0.9275718211736127
2,-30,-1.8279799269112917
2,-29,-1.3103061834274405
2,-28,0.5718670509740973
2,-27,2.1499943612617356
2,-26,2.3043945811718776
2,-25,0.3720287594946652
2,-24,-0.6860289475470307
2,-23,-1.318517948564955
2,-22,-2.0177139508870376
2,-21,0.045269354981647414
2,-20,0.17813939489884456
2,-19,0.18144469997583015
2,-18,1.0991898490812273
2,-17,0.7317491424163003
2,-16,0.7350544474932859
2,-15,0.6950242317435549
2,-14,0.23954739639430767
2,-13,0.11262295060900346
2,-12,-0.01430149517630075
2,-11,-1.1855948709386364
2,-10,0.39253243934900217
2,-9,-0.06294439600024504
2,-8,-1.5311610442596608
2,-7,-0.21934263388147968
2,-6,0.4464410893641446
2,-5,-0.724852286398191
2,-4,0.10917491516103395
2,-3,-0.5900210871610488
2,-2,-0.716945532946353
2,-1,-1.0843862396112813
2,0,-2.6867397195928788e-14
2,1,1.445245564657437
2,2,0.9275718211735868
2,3,1.8279799269112655
2,4,1.3103061834274141
2,5,-0.5718670509741237
2,6,-2.1499943612617622
2,7,-2.3043945811719047
2,8,-0.37202875949469205
2,9,0.6860289475470038
2,10,1.318517948564928
2,11,2.017713950887011
2,12,-0.04526935498167384
2,13,-0.17813939489887098
2,14,-0.181444699975857
2,15,-1.099189849081254
2,16,-0.7317491424163265
2,17,-0.7350544474933121
2,18,-0.6950242317435809
2,19,-0.23954739639433376
2,20,-0.11262295060902971
2,21,0.01430149517627477
2,22,1.1855948709386104
2,23,-0.3925324393490284
