Subcarrier,Lag,Cross-Correlation
1,-18,0.1804936086121161
1,-17,-0.10515360136046381
1,-16,-0.20160196433846672
1,-15,-0.40412209627281653
1,-14,-0.4946496011870269
1,-13,-1.2626958232560213
1,-12,-1.4950588909245537
1,-11,1.9852178599049017
1,-10,1.579566249048576
1,-9,1.2223637434668666
1,-8,0.8341868901030705
1,-7,0.6343656780329158
1,-6,0.5526802294451639
1,-5,0.9577614286715768
1,-4,2.002910247288357
1,-3,2.170222335416474
1,-2,2.198614902352848
1,-1,0.12990228669388437
1,0,4.996003610813204e-16
1,1,-0.1804936086121156
1,2,0.10515360136046431
1,3,0.20160196433846722
1,4,0.40412209627281653
1,5,0.49464960118702694
1,6,1.2626958232560213
1,7,1.4950588909245535
1,8,-1.9852178599049015
1,9,-1.5795662490485756
1,10,-1.2223637434668662
1,11,-0.8341868901030702
1,12,-0.6343656780329157
1,13,-0.5526802294451637
1,14,-0.9577614286715765
1,15,-2.0029102472883564
1,16,-2.1702223354164736
1,17,-2.198614902352848
1,18,-0.12990228669388407
2,-18,0.1804936086121161
2,-17,-0.10515360136046381
2,-16,-0.20160196433846672
2,-15,-0.40412209627281653
2,-14,-0.4946496011870269
2,-13,-1.2626958232560213
2,-12,-1.4950588909245537
2,-11,1.9852178599049017
2,-10,1.579566249048576
2,-9,1.2223637434668666
2,-8,0.8341868901030705
2,-7,0.6343656780329158
2,-6,0.5526802294451639
2,-5,0.9577614286715768
2,-4,2.002910247288357
2,-3,2.170222335416474
2,-2,2.198614902352848
2,-1,0.12990228669388437
2,0,4.996003610813204e-16
2,1,-0.1804936086121156
2,2,0.10515360136046431
2,3,0.20160196433846722
2,4,0.40412209627281653
2,5,0.49464960118702694
2,6,1.2626958232560213
2,7,1.4950588909245535
2,8,-1.9852178599049015
2,9,-1.5795662490485756
2,10,-1.2223637434668662
2,11,-0.8341868901030702
2,12,-0.6343656780329157
2,13,-0.5526802294451637
2,14,-0.9577614286715765
2,15,-2.0029102472883564
2,16,-2.1702223354164736
2,17,-2.198614902352848
2,18,-0.12990228669388407
3,-18,0.010044590102680632
3,-17,-0.0020612421539831054
3,-16,-0.03224993226154125
3,-15,-0.0077165068514116475
3,-14,-0.0204667499779064
3,-13,-0.033966552986406995
3,-12,-0.09893367741987884
3,-11,0.180166957769421
3,-10,0.22813171364772517
3,-9,-0.15635233053113945
3,-8,-0.05908780832464096
3,-7,0.004527868032295194
3,-6,0.28553130746465893
3,-5,-0.014256695485292882
3,-4,-0.07994830193711108
3,-3,0.11023190006174659
3,-2,0.09315643880191479
3,-1,-0.18310163460782478
3,0,-0.0323521181170458
3,1,0.035455077282226063
3,2,-0.1626562575027913
3,3,-0.1283193640233206
3,4,0.1967263581734124
3,5,-0.4052873069271905
3,6,0.1430550976619986
3,7,-0.06626903747432768
3,8,-0.10235015182887307
3,9,0.04853437234252512
3,10,-0.02976809228980551
3,11,0.13178572199863983
3,12,-0.038911663011054975
3,13,0.09902187562526184
3,14,-0.19531826063701024
3,15,0.24868756439074105
3,16,-0.016897755077854733
3,17,0.048067161122768355
3,18,0.003147434948396294
4,-18,0.0070191194397517444
4,-17,0.00947086978760644
4,-16,-0.04320431564828318
4,-15,-0.009985266839056747
4,-14,-0.02176150898032258
4,-13,-0.010013074033102838
4,-12,-0.11433630943755131
4,-11,0.12780559095040953
4,-10,0.36870142859878746
4,-9,-0.18077439481518126
4,-8,-0.18483010329755498
4,-7,-0.10299732147655241
4,-6,0.3236048947621399
4,-5,0.07847299495277463
4,-4,0.07199674040250248
4,-3,0.04984877197561695
4,-2,0.16339943000389157
4,-1,-0.27660440494352123
4,0,-0.19955039434689753
4,1,0.20968256705973023
4,2,-0.035374916992626314
4,3,-0.04580291427112872
4,4,0.009175486891501747
4,5,-0.2974007082541517
4,6,-0.015640264373510415
4,7,-0.13690224918970142
4,8,-0.09953726029844266
4,9,0.07792959799135007
4,10,-0.002859159021683734
4,11,0.03184161410493112
4,12,-0.014944691371542362
4,13,0.08097659498645603
4,14,-0.13299446852435215
4,15,0.18608401946651976
4,16,0.009707385633548657
4,17,0.11271370128782747
4,18,0.007082917819818024
5,-18,0.0047610417296918926
5,-17,0.004289747191002384
5,-16,-0.022576837409148717
5,-15,-0.018527409733103607
5,-14,-0.005036046398101297
5,-13,0.005112190278667122
5,-12,-0.07049463679206006
5,-11,0.06949008885939935
5,-10,0.2542562365884558
5,-9,-0.025080632023255243
5,-8,-0.29792060666104353
