Subcarrier,Lag,Cross-Correlation
1,-18,-0.005851809134754236
1,-17,-0.005852610538291424
1,-16,0.027970375586306884
1,-15,0.014103275854843004
1,-14,0.018860105084297578
1,-13,0.03041072830439074
1,-12,0.06445110151931563
1,-11,-0.09215517145596804
1,-10,-0.299370204828314
1,-9,0.07051664611326067
1,-8,0.08697852268789746
1,-7,0.09249299876462466
1,-6,0.055951139200301814
1,-5,-0.02046843682208999
1,-4,0.03484548506260115
1,-3,-0.367018602090723
1,-2,-0.2463312249133677
1,-1,0.13669126951073762
1,0,0.21248445705250932
1,1,0.017024054749045243
1,2,-0.03683357042189741
1,3,-0.13253381446783577
1,4,-0.24445768795554637
1,5,0.3300240835945808
1,6,0.3518493970243257
1,7,0.09981959121001044
1,8,0.09809613792504443
1,9,-0.0652579653893141
1,10,-0.03915702787445767
1,11,0.03351504329639091
1,12,0.16621015325680585
1,13,0.13884519239323348
1,14,0.017961119823248575
1,15,-0.24867466364642465
1,16,-0.26802874601293275
1,17,-0.02644378714252578
1,18,-0.0006655553193293258
2,-18,0.0
2,-17,0.0
2,-16,0.0
2,-15,0.0
2,-14,0.0
2,-13,0.0
2,-12,0.0
2,-11,0.0
2,-10,0.0
2,-9,0.0
2,-8,0.0
2,-7,0.0
2,-6,0.0
2,-5,0.0
2,-4,0.0
2,-3,0.0
2,-2,0.0
2,-1,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
3,-18,0.011699267558199394
3,-17,-0.030899770224307677
3,-16,-0.0040482945296126975
3,-15,0.01783311341367345
3,-14,0.012237751580070944
3,-13,-0.00042788102169769905
3,-12,0.060777911698083296
3,-11,0.30087753139045736
3,-10,-0.23817215402290925
3,-9,-0.2890338300257636
3,-8,-0.052918120596596695
3,-7,-0.20940961944248163
3,-6,0.14781029010997612
3,-5,0.33656159912725875
3,-4,-0.07556945775314579
3,-3,-0.19995604239816536
3,-2,0.0023101050177084994
3,-1,-0.14632243263422007
3,0,0.26826003435269835
3,1,0.36337899093336984
3,2,0.24080349074683804
3,3,-0.0367706345751256
3,4,-0.2131596159109507
3,5,-0.4058593392163807
3,6,0.14035219112537992
3,7,0.2659828295719639
3,8,-0.034144182562098294
3,9,-0.031910930886370314
3,10,-0.2072832850465225
3,11,-0.1722126229078137
3,12,-0.16784821599241886
3,13,0.0990814527207476
3,14,0.13352402156657953
3,15,0.18441776074355387
3,16,-0.0010378499345836116
3,17,-0.06489919579338992
3,18,-0.0040248661820041194
4,-18,0.011753234378438828
4,-17,-0.0311731693384086
4,-16,-0.004116207434598204
4,-15,0.017811976940818066
4,-14,0.013209957410151673
4,-13,0.0006977212248174702
4,-12,0.062444779871683655
4,-11,0.30400438664924906
4,-10,-0.23332766698367555
4,-9,-0.3040869653158844
4,-8,-0.060900042145297706
4,-7,-0.21711424569609622
4,-6,0.1538110471652817
4,-5,0.31892640862166177
4,-4,-0.07265176527009015
4,-3,-0.09709819859474908
4,-2,-0.07160548461315067
4,-1,-0.15866919926904136
4,0,0.26323796019723306
4,1,0.37337750532759134
4,2,0.24973741010061895
4,3,-0.022210764175656417
4,4,-0.18902339534628815
4,5,-0.42907815750211037
4,6,0.1374791475872062
4,7,0.21344372886793814
4,8,-0.0005910080651917362
4,9,-0.02660845180431731
4,10,-0.20736798557423836
4,11,-0.17556514598897632
4,12,-0.17163615286385311
4,13,0.09983528026202514
4,14,0.134383470894208
4,15,0.1896617630125871
4,16,0.001071769114485158
4,17,-0.06784669020529624
4,18,-0.004216851439075435
5,-18,0.012278931867019784
5,-17,-0.03182833391489406
5,-16,-0.004820997196169092
5,-15,0.01772270917870057
5,-14,0.012439293441899417
5,-13,-0.0014328313159638676
5,-12,0.06023742518754542
5,-11,0.3133532645489784
5,-10,-0.23377740848113687
5,-9,-0.31729648852089365
5,-8,-0.0476212476042085
5,-7,-0.2152540670310732
5,-6,0.16713611920220006
5,-5,0.32823814742838003
5,-4,-0.04087272942595268
5,-3,-0.09126591884437842
5,-2,-0.2004736682727448
5,-1,-0.14083200087460018
5,0,0.2803486151652238
5,1,0.3981619828444096
5,2,0.26168681086822676
5,3,-0.019079454287613144
5,4,-0.21224902603946985
5,5,-0.4734817531493401
5,6,0.14008605770929966
5,7,0.21935965561379026
5,8,0.07455497046623683
5,9,-0.027158407315797713
5,10,-0.21314924924068313
5,11,-0.18191625950730034
5,12,-0.17644020443047054
5,13,0.10026644550365728
5,14,0.13555579699803308
5,15,0.18898172296143664
5,16,-0.004841509830493781
5,17,-0.07215244698980584
5,18,-0.0044639467120479205
6,-18,0.01166845384664949
6,-17,-0.03108627301113515
6,-16,-0.004301900187167055
6,-15,0.018570457956543943
6,-14,0.013227364290836824
6,-13,0.001411392795473523
6,-12,0.06271550551683762
6,-11,0.30340088529320947
6,-10,-0.23290393567527376
6,-9,-0.3137756301376118
6,-8,-0.05547804564925323
6,-7,-0.2181815938972112
6,-6,0.1562511665745354
6,-5,0.314959849410222
6,-4,-0.07041707483833325
6,-3,-0.06952925672961706
6,-2,-0.10471979230381957
6,-1,-0.15163624111970816
6,0,0.2656630019934333
6,1,0.375232631483231
6,2,0.2471761997158447
6,3,-0.020266774604575127
6,4,-0.18810791984622388
6,5,-0.4312034834577771
6,6,0.14270213052691338
6,7,0.19488827928776709
6,8,0.013385233883118144
6,9,-0.02965359675818776
6,10,-0.20949426851453765
6,11,-0.17389418123266667
6,12,-0.16821128821477313
6,13,0.10167637645889772
6,14,0.13572869976812776
6,15,0.18689677849886435
6,16,-0.001518710718683578
6,17,-0.06701902501224437
6,18,-0.004155415391706324
7,-18,0.011782193346197399
7,-17,-0.03120753691946659
7,-16,-0.004401972263684875
7,-15,0.018305807902664145
7,-14,0.012960709013298915
7,-13,0.0007957249172798667
7,-12,0.06269297795035556
