Subcarrier,Lag,Cross-Correlation
1,-7,-0.05170404122929737
1,-6,-0.020520449446459515
1,-5,-0.017298275188183967
1,-4,-0.06329616011289674
1,-3,0.43657913827986844
1,-2,-0.2862603642113569
1,-1,-0.24597752720695396
1,0,0.4680684965456968
1,1,-0.17122117704143938
1,2,0.4378015153281332
1,3,-0.4423097772363074
1,4,-0.3014267146369185
1,5,0.08875403604496572
1,6,0.13068278682751328
1,7,0.03812851328363616
2,-7,0.0
2,-6,0.0
2,-5,0.0
2,-4,0.0
2,-3,0.0
2,-2,0.0
2,-1,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
3,-7,0.013482630664881524
3,-6,0.05493528564041161
3,-5,0.029859843146547594
3,-4,0.0912194339480039
3,-3,-0.021901154933870896
3,-2,-0.3433999651385926
3,-1,0.18582931074149656
3,0,-0.38000338295161185
3,1,-0.252756448456443
3,2,0.5182281987030625
3,3,0.5955046656610478
3,4,-0.2710749188505137
3,5,-0.18998742169647712
3,6,-0.045068368981303876
3,7,0.015132292503361539
4,-7,0.012954894939068165
4,-6,0.05507094818211515
4,-5,0.030157364637048455
4,-4,0.09141728883749979
4,-3,-0.0166342574964508
4,-2,-0.348038899462807
4,-1,0.18233758558695065
4,0,-0.3777021993284808
4,1,-0.25428840576425865
4,2,0.518315732262157
4,3,0.5950172958756687
4,4,-0.266577967265499
4,5,-0.19046301038800217
4,6,-0.04611951529340445
4,7,0.014553144678395103
5,-7,0.012855478462233108
5,-6,0.05501743115960634
5,-5,0.030143833012315723
5,-4,0.09161580502580725
5,-3,-0.015721528664705265
5,-2,-0.34835332356599474
5,-1,0.18174076562509892
5,0,-0.3796028443475688
5,1,-0.2527926855986306
5,2,0.5200949015383178
5,3,0.5930684327264736
5,4,-0.26608766798294375
5,5,-0.1903203186595827
5,6,-0.04610265454232168
5,7,0.01444437581189485
6,-7,0.013590918052592393
6,-6,0.055631971330841815
6,-5,0.030572743896879463
6,-4,0.0918601263567233
6,-3,-0.02252553393846098
6,-2,-0.3484172006211688
6,-1,0.18537771603098385
6,0,-0.3777248802765989
6,1,-0.24987383416814077
6,2,0.5168424845275734
6,3,0.5941598847156219
6,4,-0.26794892821303806
6,5,-0.19030340131114584
6,6,-0.045915587290400434
6,7,0.014673520907737617
7,-7,0.013524338168605989
7,-6,0.05627874528988658
7,-5,0.03124198355479877
7,-4,0.0920308550524654
7,-3,-0.021618684938436147
7,-2,-0.35498926666152303
7,-1,0.18400385092669025
7,0,-0.371432265280052
7,1,-0.24990756224389998
7,2,0.5198117220917551
7,3,0.5900857117492498
7,4,-0.2676577568799821
7,5,-0.1901802619242912
7,6,-0.04574462198264843
7,7,0.014553213077381144
8,-7,0.013676264736896282
8,-6,0.05588833307152841
8,-5,0.03073716610004534
8,-4,0.09204668335932702
8,-3,-0.023372891866543205
8,-2,-0.35024056240473356
8,-1,0.18613063681818423
8,0,-0.37729684057174745
8,1,-0.24781448099067221
8,2,0.5175992614388453
8,3,0.5922079234971778
8,4,-0.26853099906819883
8,5,-0.19006137364513848
8,6,-0.04567414737879772
8,7,0.01470502690382704
9,-7,0.013085267423859863
9,-6,0.05555030909115017
9,-5,0.030662027351712157
9,-4,0.09227109435802215
9,-3,-0.017985563005672476
9,-2,-0.35117725042154857
9,-1,0.1818165644498251
9,0,-0.3798252308502395
9,1,-0.2456151773428937
9,2,0.5169645617734595
9,3,0.5934505843521477
9,4,-0.2672190472682794
9,5,-0.19034625207580555
9,6,-0.046163580336118205
9,7,0.01453169250038078
