subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
94.0,-32.0,5.0,13.0,-6.0,17.0,-9.0,18.0,1986.41
-51.0,-48.0,12.0,11.0,-41.0,-6.0,-51.0,-28.0,1986.41
-128.0,0.0,8.0,-11.0,-15.0,-12.0,-16.0,-9.0,1986.42
98.0,32.0,6.0,-18.0,4.0,-21.0,2.0,-20.0,1986.42
94.0,-32.0,5.0,4.0,-18.0,2.0,-20.0,7.0,1986.43
98.0,32.0,6.0,-16.0,-6.0,-15.0,-10.0,-13.0,1986.43
120.0,-128.0,7.0,13.0,-9.0,11.0,-12.0,11.0,1986.44
-116.0,-64.0,8.0,14.0,4.0,16.0,7.0,19.0,1986.44
-66.0,-32.0,11.0,15.0,-3.0,17.0,-6.0,19.0,1986.45
120.0,-128.0,7.0,7.0,12.0,9.0,12.0,12.0,1986.46
124.0,-64.0,7.0,-8.0,2.0,-5.0,0.0,-2.0,1986.47
98.0,32.0,6.0,-7.0,0.0,-2.0,2.0,-5.0,1986.47
98.0,32.0,6.0,-3.0,-4.0,-2.0,-6.0,-2.0,1986.5
-51.0,-48.0,12.0,-15.0,-15.0,-7.0,-9.0,-2.0,1986.51
94.0,-32.0,5.0,3.0,-17.0,1.0,-19.0,2.0,1986.51
124.0,-64.0,7.0,-11.0,0.0,-14.0,-4.0,-18.0,1986.52
124.0,-64.0,7.0,12.0,-7.0,14.0,-8.0,17.0,1986.55
94.0,-32.0,5.0,4.0,9.0,3.0,15.0,2.0,1986.55
94.0,-32.0,5.0,11.0,-8.0,9.0,-13.0,12.0,1986.56
124.0,-64.0,7.0,10.0,-1.0,6.0,-12.0,2.0,1986.56
124.0,-64.0,7.0,-5.0,8.0,-1.0,2.0,-5.0,1986.57
124.0,-64.0,7.0,-11.0,3.0,-2.0,4.0,0.0,1986.58
-126.0,32.0,8.0,-7.0,11.0,-5.0,-6.0,-3.0,1986.6
-34.0,-30.0,45.0,20.0,15.0,8.0,8.0,12.0,1986.61
98.0,32.0,6.0,44.0,-2.0,47.0,29.0,37.0,1986.62
115.0,48.0,7.0,-21.0,59.0,6.0,52.0,-14.0,1986.62
124.0,-64.0,7.0,10.0,-32.0,17.0,-43.0,-1.0,1986.63
94.0,-32.0,5.0,40.0,28.0,17.0,7.0,50.0,1986.63
94.0,-32.0,5.0,13.0,-14.0,13.0,-12.0,15.0,1986.64
124.0,-64.0,7.0,-10.0,-14.0,-9.0,-13.0,-13.0,1986.65
124.0,-64.0,7.0,2.0,-19.0,3.0,-19.0,7.0,1986.65
124.0,-64.0,7.0,14.0,3.0,19.0,4.0,15.0,1986.66
-126.0,33.0,24.0,3.0,17.0,4.0,16.0,1.0,1986.66
94.0,-32.0,5.0,3.0,-17.0,6.0,-17.0,9.0,1986.67
98.0,32.0,6.0,4.0,-6.0,4.0,-19.0,3.0,1986.67
-2.0,-32.0,15.0,3.0,2.0,-2.0,0.0,4.0,1986.68
98.0,32.0,6.0,4.0,-12.0,4.0,-9.0,4.0,1986.7
124.0,-64.0,7.0,-10.0,-5.0,-14.0,-12.0,-12.0,1986.71
-98.0,-32.0,9.0,14.0,8.0,8.0,11.0,9.0,1986.72
124.0,-64.0,7.0,12.0,-10.0,12.0,-10.0,11.0,1986.72
94.0,-32.0,5.0,1.0,-21.0,1.0,-10.0,11.0,1986.73
98.0,32.0,6.0,-10.0,-13.0,-5.0,-23.0,-10.0,1986.73
124.0,-64.0,7.0,42.0,-37.0,58.0,-35.0,41.0,1986.74
-98.0,-32.0,9.0,8.0,14.0,25.0,50.0,17.0,1986.75
-2.0,-32.0,15.0,-14.0,8.0,-12.0,9.0,-16.0,1986.75
94.0,-32.0,5.0,15.0,6.0,13.0,2.0,23.0,1986.76
94.0,-32.0,5.0,-4.0,-18.0,2.0,-18.0,-1.0,1986.76
-98.0,-32.0,9.0,-3.0,5.0,3.0,-5.0,4.0,1986.77
98.0,32.0,6.0,-10.0,8.0,-7.0,1.0,-10.0,1986.77
98.0,32.0,6.0,-1.0,4.0,1.0,-1.0,4.0,1986.8
-98.0,-32.0,9.0,-9.0,6.0,-4.0,11.0,-10.0,1986.82
94.0,-32.0,5.0,-16.0,23.0,-14.0,50.0,-16.0,1986.82
94.0,-32.0,5.0,33.0,38.0,26.0,41.0,12.0,1986.83
-98.0,-32.0,9.0,17.0,-33.0,10.0,-32.0,51.0,1986.83
-128.0,0.0,8.0,-8.0,46.0,3.0,32.0,33.0,1986.84
-98.0,-32.0,9.0,31.0,-9.0,54.0,-6.0,62.0,1986.84
94.0,-32.0,5.0,37.0,55.0,24.0,22.0,26.0,1986.85
-56.0,-128.0,12.0,22.0,-26.0,48.0,-14.0,50.0,1986.85
-128.0,0.0,8.0,18.0,-34.0,5.0,-82.0,37.0,1986.86
94.0,-32.0,5.0,-38.0,8.0,-8.0,-8.0,-56.0,1986.87
-115.0,-48.0,8.0,8.0,-17.0,2.0,-8.0,-5.0,1986.87
98.0,32.0,6.0,7.0,-12.0,-5.0,-8.0,5.0,1986.88
-51.0,-48.0,12.0,-11.0,-3.0,-6.0,-12.0,0.0,1986.88
-128.0,0.0,8.0,-2.0,2.0,4.0,9.0,-1.0,1986.89
94.0,-32.0,5.0,6.0,-3.0,14.0,-7.0,8.0,1986.89
-115.0,-48.0,8.0,8.0,-13.0,6.0,-10.0,4.0,1986.9
98.0,32.0,6.0,8.0,1.0,3.0,-3.0,5.0,1986.9
108.0,-64.0,6.0,3.0,-6.0,7.0,-5.0,4.0,1986.91
98.0,32.0,6.0,8.0,-4.0,3.0,-13.0,-4.0,1986.91
-118.0,-96.0,8.0,2.0,-7.0,1.0,-18.0,5.0,1986.92
98.0,32.0,6.0,-5.0,-1.0,-9.0,2.0,1.0,1986.93
