subcarrier_0,subcarrier_1,subcarrier_5,subcarrier_6,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_19,subcarrier_21,subcarrier_22,subcarrier_25,subcarrier_27,subcarrier_29,subcarrier_32,subcarrier_33,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_43,subcarrier_45,subcarrier_48,subcarrier_50,subcarrier_51,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_87,subcarrier_89,subcarrier_90,subcarrier_92,subcarrier_93,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_100,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_113,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_119,subcarrier_121,subcarrier_122,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
30.0,-32.0,1.0,-29.0,-28.0,2.0,-28.0,3.0,-27.0,4.0,-26.0,4.0,5.0,-27.0,6.0,6.0,6.0,-26.0,5.0,6.0,-26.0,5.0,4.0,-25.0,4.0,3.0,3.0,-23.0,-23.0,2.0,1.0,-22.0,1.0,-23.0,0.0,-24.0,0.0,-24.0,0.0,-1.0,-1.0,-26.0,-26.0,-2.0,-3.0,-27.0,-2.0,-27.0,-26.0,-26.0,-3.0,-27.0,-27.0,-2.0,-27.0,-2.0,-2.0,-2.0,-27.0,0.0,0.0,0.0,-28.0,-29.0,1.0,-28.0,1.0,4816.94
30.0,-32.0,5.0,-27.0,-26.0,5.0,-26.0,6.0,-26.0,6.0,-25.0,7.0,7.0,-25.0,8.0,8.0,8.0,-24.0,8.0,8.0,-24.0,7.0,7.0,-23.0,6.0,6.0,5.0,-22.0,-21.0,4.0,4.0,-21.0,3.0,-21.0,2.0,-23.0,2.0,-23.0,1.0,1.0,1.0,-25.0,-25.0,0.0,0.0,-26.0,0.0,-27.0,-25.0,-25.0,0.0,-26.0,-25.0,1.0,-25.0,1.0,1.0,1.0,-26.0,2.0,2.0,2.0,-27.0,-27.0,4.0,-27.0,4.0,4817.19
30.0,-32.0,23.0,-14.0,-13.0,22.0,-13.0,22.0,-12.0,22.0,-11.0,22.0,22.0,-11.0,23.0,23.0,23.0,-10.0,22.0,23.0,-11.0,22.0,22.0,-12.0,21.0,20.0,20.0,-12.0,-12.0,19.0,18.0,-11.0,16.0,-11.0,17.0,-12.0,16.0,-12.0,16.0,16.0,17.0,-14.0,-15.0,18.0,18.0,-16.0,17.0,-16.0,-16.0,-16.0,17.0,-16.0,-15.0,18.0,-15.0,18.0,19.0,19.0,-14.0,19.0,20.0,20.0,-14.0,-14.0,22.0,-14.0,21.0,4818.01
30.0,-32.0,15.0,-24.0,-23.0,14.0,-23.0,15.0,-23.0,15.0,-22.0,15.0,16.0,-21.0,16.0,16.0,16.0,-21.0,16.0,17.0,-21.0,15.0,15.0,-21.0,14.0,13.0,13.0,-19.0,-20.0,11.0,10.0,-17.0,10.0,-18.0,10.0,-19.0,9.0,-20.0,9.0,9.0,9.0,-22.0,-22.0,9.0,9.0,-23.0,9.0,-24.0,-23.0,-23.0,9.0,-24.0,-23.0,9.0,-23.0,10.0,10.0,11.0,-23.0,11.0,12.0,12.0,-24.0,-24.0,14.0,-23.0,13.0,4818.01
30.0,-32.0,-17.0,20.0,20.0,-17.0,19.0,-17.0,19.0,-18.0,18.0,-17.0,-19.0,17.0,-18.0,-18.0,-19.0,18.0,-18.0,-18.0,18.0,-17.0,-17.0,18.0,-16.0,-15.0,-14.0,17.0,18.0,-13.0,-13.0,14.0,-14.0,14.0,-14.0,15.0,-14.0,16.0,-13.0,-14.0,-13.0,18.0,19.0,-13.0,-14.0,19.0,-14.0,20.0,19.0,20.0,-13.0,20.0,19.0,-13.0,20.0,-14.0,-14.0,-14.0,19.0,-15.0,-15.0,-16.0,20.0,20.0,-17.0,19.0,-17.0,4818.02
30.0,-32.0,20.0,-20.0,-19.0,20.0,-17.0,21.0,-18.0,20.0,-16.0,21.0,20.0,-16.0,21.0,21.0,23.0,-16.0,21.0,21.0,-16.0,21.0,20.0,-16.0,19.0,18.0,17.0,-15.0,-15.0,17.0,16.0,-13.0,14.0,-14.0,14.0,-16.0,15.0,-15.0,14.0,15.0,14.0,-18.0,-19.0,15.0,15.0,-19.0,16.0,-20.0,-20.0,-20.0,16.0,-20.0,-20.0,16.0,-18.0,16.0,17.0,17.0,-19.0,18.0,18.0,18.0,-19.0,-19.0,20.0,-18.0,20.0,4818.02
30.0,-32.0,12.0,-20.0,-19.0,13.0,-19.0,13.0,-18.0,13.0,-18.0,13.0,14.0,-17.0,15.0,15.0,15.0,-18.0,14.0,14.0,-18.0,14.0,12.0,-18.0,12.0,12.0,11.0,-17.0,-17.0,10.0,10.0,-13.0,10.0,-15.0,9.0,-16.0,10.0,-15.0,10.0,10.0,10.0,-18.0,-19.0,9.0,10.0,-18.0,10.0,-19.0,-19.0,-19.0,10.0,-19.0,-20.0,9.0,-18.0,9.0,11.0,10.0,-19.0,11.0,11.0,11.0,-19.0,-20.0,13.0,-20.0,14.0,4818.03
30.0,-32.0,-22.0,17.0,16.0,-21.0,16.0,-22.0,16.0,-22.0,15.0,-22.0,-23.0,13.0,-23.0,-23.0,-24.0,13.0,-23.0,-23.0,14.0,-22.0,-22.0,14.0,-21.0,-20.0,-19.0,13.0,13.0,-18.0,-17.0,12.0,-15.0,13.0,-15.0,14.0,-15.0,15.0,-15.0,-16.0,-16.0,17.0,18.0,-16.0,-16.0,18.0,-17.0,19.0,18.0,18.0,-16.0,19.0,18.0,-17.0,18.0,-17.0,-18.0,-18.0,17.0,-18.0,-19.0,-19.0,17.0,18.0,-21.0,17.0,-21.0,4818.04
30.0,-32.0,-25.0,9.0,9.0,-25.0,8.0,-25.0,8.0,-25.0,8.0,-24.0,-24.0,6.0,-25.0,-25.0,-26.0,7.0,-25.0,-24.0,7.0,-25.0,-24.0,8.0,-23.0,-23.0,-22.0,8.0,8.0,-21.0,-20.0,5.0,-19.0,6.0,-19.0,7.0,-20.0,8.0,-19.0,-20.0,-20.0,10.0,11.0,-21.0,-21.0,10.0,-21.0,11.0,10.0,12.0,-22.0,11.0,11.0,-22.0,11.0,-21.0,-23.0,-22.0,10.0,-22.0,-23.0,-23.0,9.0,9.0,-25.0,8.0,-25.0,4818.04
30.0,-32.0,29.0,11.0,12.0,26.0,13.0,26.0,13.0,26.0,13.0,25.0,25.0,14.0,25.0,25.0,25.0,13.0,25.0,26.0,13.0,25.0,24.0,12.0,24.0,24.0,23.0,9.0,8.0,23.0,22.0,9.0,19.0,9.0,21.0,8.0,21.0,8.0,21.0,22.0,23.0,8.0,8.0,25.0,25.0,7.0,26.0,7.0,6.0,6.0,25.0,7.0,7.0,25.0,8.0,26.0,26.0,27.0,9.0,26.0,26.0,27.0,10.0,11.0,28.0,11.0,27.0,4818.05
