subcarrier_4,subcarrier_6,subcarrier_7,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_14,subcarrier_16,subcarrier_18,subcarrier_19,subcarrier_22,subcarrier_23,subcarrier_26,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_44,subcarrier_45,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_79,subcarrier_80,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_91,subcarrier_94,subcarrier_95,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_103,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_109,subcarrier_112,subcarrier_114,subcarrier_118,subcarrier_120,subcarrier_122,subcarrier_123,subcarrier_125,subcarrier_127,timestamp
18.0,17.0,-19.0,17.0,-19.0,-19.0,16.0,16.0,15.0,-19.0,15.0,-21.0,14.0,15.0,-21.0,14.0,-20.0,15.0,-19.0,-19.0,16.0,-18.0,15.0,15.0,-17.0,-16.0,14.0,-16.0,15.0,-16.0,15.0,-15.0,13.0,-14.0,-14.0,14.0,15.0,-14.0,-14.0,16.0,-14.0,16.0,-14.0,-14.0,18.0,-14.0,-15.0,19.0,-14.0,19.0,-14.0,-14.0,19.0,-15.0,-15.0,19.0,19.0,18.0,18.0,18.0,-18.0,-18.0,-18.0,5168.59
-25.0,-24.0,16.0,-23.0,15.0,17.0,-22.0,-21.0,-21.0,16.0,-21.0,17.0,-20.0,-21.0,18.0,-20.0,17.0,-21.0,17.0,16.0,-21.0,15.0,-20.0,-20.0,14.0,13.0,-20.0,13.0,-20.0,12.0,-20.0,11.0,-17.0,12.0,11.0,-19.0,-19.0,11.0,11.0,-21.0,11.0,-21.0,11.0,12.0,-23.0,11.0,11.0,-24.0,11.0,-23.0,11.0,11.0,-24.0,11.0,11.0,-24.0,-24.0,-23.0,-23.0,-24.0,15.0,15.0,15.0,5169.42
-11.0,-10.0,24.0,-10.0,24.0,24.0,-9.0,-8.0,-8.0,24.0,-7.0,24.0,-7.0,-6.0,24.0,-7.0,23.0,-7.0,24.0,23.0,-8.0,22.0,-8.0,-8.0,21.0,20.0,-8.0,20.0,-9.0,20.0,-9.0,19.0,-7.0,17.0,17.0,-9.0,-9.0,18.0,18.0,-11.0,18.0,-11.0,19.0,19.0,-12.0,19.0,20.0,-13.0,20.0,-13.0,20.0,19.0,-13.0,20.0,20.0,-12.0,-12.0,-11.0,-11.0,-11.0,23.0,24.0,23.0,5169.59
17.0,16.0,-21.0,16.0,-20.0,-21.0,14.0,14.0,13.0,-21.0,13.0,-22.0,13.0,12.0,-22.0,12.0,-22.0,13.0,-21.0,-21.0,13.0,-20.0,13.0,13.0,-19.0,-18.0,13.0,-18.0,13.0,-17.0,13.0,-17.0,12.0,-16.0,-15.0,14.0,14.0,-16.0,-16.0,15.0,-16.0,16.0,-16.0,-16.0,18.0,-16.0,-16.0,19.0,-17.0,18.0,-16.0,-16.0,18.0,-17.0,-16.0,17.0,18.0,17.0,17.0,17.0,-19.0,-20.0,-20.0,5170.42
-18.0,-17.0,20.0,-16.0,20.0,20.0,-15.0,-14.0,-14.0,21.0,-13.0,21.0,-14.0,-13.0,22.0,-13.0,21.0,-13.0,21.0,20.0,-14.0,20.0,-14.0,-14.0,18.0,18.0,-14.0,17.0,-15.0,17.0,-15.0,16.0,-13.0,14.0,14.0,-14.0,-14.0,14.0,14.0,-15.0,14.0,-15.0,15.0,15.0,-17.0,15.0,15.0,-18.0,15.0,-18.0,15.0,14.0,-18.0,15.0,15.0,-17.0,-17.0,-16.0,-17.0,-17.0,19.0,20.0,19.0,5170.61
22.0,21.0,-15.0,22.0,-15.0,-15.0,21.0,20.0,19.0,-15.0,19.0,-16.0,19.0,19.0,-17.0,19.0,-16.0,19.0,-15.0,-15.0,20.0,-14.0,19.0,19.0,-13.0,-12.0,19.0,-12.0,19.0,-11.0,19.0,-10.0,16.0,-12.0,-12.0,17.0,17.0,-11.0,-11.0,19.0,-11.0,19.0,-11.0,-11.0,21.0,-11.0,-11.0,22.0,-10.0,21.0,-10.0,-10.0,22.0,-11.0,-11.0,22.0,22.0,22.0,21.0,22.0,-13.0,-14.0,-14.0,5171.42
17.0,17.0,-15.0,17.0,-15.0,-15.0,16.0,16.0,16.0,-15.0,15.0,-17.0,15.0,15.0,-17.0,16.0,-16.0,16.0,-15.0,-14.0,16.0,-14.0,16.0,16.0,-13.0,-12.0,15.0,-12.0,16.0,-11.0,16.0,-11.0,11.0,-12.0,-12.0,12.0,12.0,-12.0,-12.0,14.0,-12.0,14.0,-12.0,-12.0,16.0,-12.0,-12.0,17.0,-13.0,16.0,-12.0,-12.0,17.0,-12.0,-12.0,17.0,17.0,17.0,17.0,17.0,-15.0,-15.0,-16.0,5171.61
-1.0,-2.0,-26.0,-2.0,-25.0,-25.0,-3.0,-3.0,-3.0,-24.0,-5.0,-25.0,-5.0,-5.0,-25.0,-4.0,-24.0,-4.0,-24.0,-24.0,-2.0,-24.0,-2.0,-2.0,-23.0,-22.0,-1.0,-22.0,-1.0,-22.0,0.0,-21.0,-3.0,-20.0,-20.0,-2.0,-2.0,-21.0,-21.0,-1.0,-22.0,0.0,-22.0,-23.0,1.0,-24.0,-24.0,1.0,-25.0,1.0,-24.0,-24.0,1.0,-25.0,-24.0,1.0,0.0,0.0,0.0,-1.0,-25.0,-26.0,-25.0,5172.42
20.0,19.0,17.0,20.0,17.0,17.0,20.0,20.0,20.0,16.0,21.0,15.0,20.0,21.0,15.0,20.0,16.0,20.0,17.0,17.0,18.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,15.0,17.0,14.0,17.0,16.0,11.0,12.0,16.0,16.0,13.0,13.0,16.0,14.0,16.0,15.0,16.0,16.0,17.0,17.0,17.0,18.0,16.0,18.0,18.0,16.0,18.0,18.0,17.0,17.0,18.0,18.0,19.0,18.0,19.0,18.0,5172.58
26.0,25.0,8.0,24.0,8.0,7.0,25.0,24.0,24.0,6.0,25.0,5.0,24.0,25.0,5.0,24.0,5.0,24.0,6.0,6.0,23.0,6.0,22.0,21.0,6.0,7.0,20.0,7.0,20.0,7.0,19.0,8.0,18.0,6.0,7.0,19.0,19.0,7.0,8.0,20.0,9.0,20.0,9.0,10.0,21.0,11.0,11.0,22.0,12.0,21.0,12.0,12.0,22.0,11.0,11.0,22.0,23.0,23.0,23.0,23.0,9.0,9.0,9.0,5173.02
