subcarrier_0,subcarrier_1,subcarrier_7,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_25,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_34,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_44,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_53,subcarrier_76,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_86,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_104,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_122,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-115.0,-48.0,27.0,19.0,7.0,12.0,18.0,9.0,23.0,16.0,15.0,14.0,15.0,9.0,15.0,6.0,10.0,7.0,5.0,12.0,19.0,6.0,16.0,12.0,13.0,13.0,14.0,14.0,9.0,12.0,3.0,-3.0,6.0,2.0,5.0,9.0,23.0,3.0,11.0,4.0,3.0,13.0,8.0,12.0,12.0,10.0,10.0,10.0,8.0,8.0,0.0,9.0,9.0,3.0,11.0,11.0,6.0,10.0,1.0,3.0,9.0,6.0,14.0,7.0,27.0,3373.44
-61.0,48.0,18.0,5.0,19.0,27.0,7.0,25.0,7.0,24.0,5.0,6.0,11.0,8.0,5.0,8.0,11.0,14.0,18.0,0.0,-1.0,13.0,5.0,13.0,16.0,9.0,12.0,1.0,9.0,1.0,10.0,0.0,9.0,0.0,8.0,8.0,9.0,-1.0,17.0,1.0,2.0,14.0,-1.0,13.0,19.0,2.0,15.0,23.0,15.0,3.0,16.0,9.0,11.0,17.0,2.0,15.0,4.0,12.0,9.0,18.0,26.0,13.0,9.0,9.0,4.0,3373.45
-91.0,80.0,14.0,20.0,27.0,20.0,9.0,20.0,11.0,10.0,1.0,-2.0,14.0,11.0,9.0,9.0,10.0,11.0,17.0,-7.0,0.0,21.0,5.0,10.0,14.0,9.0,-9.0,7.0,6.0,4.0,21.0,-2.0,12.0,3.0,-5.0,2.0,9.0,0.0,10.0,15.0,15.0,10.0,13.0,14.0,22.0,22.0,23.0,19.0,16.0,11.0,12.0,9.0,14.0,13.0,5.0,19.0,-1.0,3.0,11.0,7.0,12.0,9.0,15.0,11.0,14.0,3373.45
30.0,-32.0,-25.0,-24.0,5.0,4.0,-24.0,3.0,-24.0,3.0,-24.0,-24.0,2.0,1.0,-24.0,1.0,-25.0,2.0,1.0,-24.0,-24.0,2.0,-24.0,2.0,2.0,2.0,-22.0,2.0,-21.0,-21.0,0.0,-19.0,2.0,-19.0,-19.0,3.0,4.0,-21.0,4.0,-22.0,-22.0,6.0,-22.0,6.0,7.0,-22.0,7.0,7.0,7.0,-22.0,6.0,-22.0,6.0,6.0,-23.0,7.0,-24.0,-23.0,6.0,6.0,6.0,6.0,-25.0,6.0,-25.0,3373.46
30.0,-32.0,21.0,21.0,-9.0,-8.0,21.0,-7.0,21.0,-6.0,21.0,21.0,-6.0,-5.0,21.0,-5.0,21.0,-5.0,-5.0,21.0,21.0,-5.0,20.0,-6.0,-5.0,-6.0,19.0,-6.0,18.0,18.0,-4.0,18.0,-6.0,17.0,18.0,-7.0,-8.0,19.0,-8.0,19.0,20.0,-10.0,19.0,-11.0,-11.0,19.0,-11.0,-11.0,-11.0,20.0,-10.0,19.0,-10.0,-10.0,20.0,-10.0,21.0,20.0,-10.0,-10.0,-10.0,-10.0,22.0,-10.0,21.0,3373.56
30.0,-32.0,-16.0,-15.0,16.0,15.0,-16.0,15.0,-16.0,14.0,-16.0,-17.0,14.0,14.0,-18.0,14.0,-18.0,14.0,14.0,-17.0,-16.0,14.0,-16.0,13.0,13.0,13.0,-14.0,13.0,-14.0,-13.0,9.0,-11.0,10.0,-11.0,-11.0,12.0,12.0,-11.0,13.0,-12.0,-12.0,15.0,-12.0,16.0,15.0,-11.0,16.0,16.0,16.0,-12.0,15.0,-12.0,15.0,16.0,-13.0,16.0,-13.0,-13.0,16.0,16.0,16.0,17.0,-15.0,17.0,-15.0,3375.61
30.0,-32.0,-18.0,-18.0,17.0,16.0,-19.0,15.0,-19.0,15.0,-19.0,-20.0,15.0,14.0,-20.0,14.0,-20.0,14.0,14.0,-19.0,-18.0,14.0,-18.0,14.0,14.0,13.0,-16.0,13.0,-16.0,-15.0,9.0,-14.0,11.0,-13.0,-14.0,12.0,13.0,-14.0,14.0,-15.0,-15.0,16.0,-15.0,17.0,16.0,-14.0,17.0,17.0,17.0,-15.0,16.0,-16.0,16.0,17.0,-16.0,17.0,-16.0,-17.0,17.0,17.0,17.0,18.0,-18.0,18.0,-18.0,3375.92
30.0,-32.0,-24.0,-24.0,5.0,5.0,-24.0,4.0,-24.0,4.0,-23.0,-24.0,3.0,2.0,-25.0,2.0,-24.0,2.0,3.0,-24.0,-23.0,4.0,-23.0,4.0,4.0,4.0,-21.0,4.0,-21.0,-20.0,2.0,-17.0,3.0,-17.0,-17.0,4.0,4.0,-18.0,5.0,-19.0,-20.0,7.0,-20.0,7.0,7.0,-20.0,7.0,7.0,7.0,-21.0,6.0,-21.0,6.0,6.0,-22.0,7.0,-22.0,-22.0,6.0,6.0,6.0,6.0,-25.0,5.0,-25.0,3376.1
-92.0,64.0,13.0,13.0,22.0,19.0,14.0,16.0,27.0,9.0,27.0,16.0,14.0,15.0,17.0,12.0,23.0,13.0,10.0,14.0,15.0,1.0,11.0,3.0,3.0,-1.0,10.0,-6.0,6.0,4.0,2.0,-2.0,14.0,-6.0,5.0,13.0,15.0,3.0,18.0,-5.0,-3.0,21.0,-1.0,16.0,15.0,-2.0,19.0,8.0,11.0,0.0,-2.0,0.0,10.0,7.0,2.0,8.0,7.0,21.0,3.0,11.0,27.0,25.0,16.0,24.0,22.0,3376.11
30.0,-32.0,9.0,9.0,-17.0,-17.0,10.0,-16.0,10.0,-16.0,11.0,11.0,-16.0,-16.0,12.0,-16.0,13.0,-16.0,-16.0,13.0,12.0,-17.0,12.0,-17.0,-16.0,-16.0,12.0,-16.0,11.0,11.0,-10.0,7.0,-11.0,7.0,6.0,-12.0,-14.0,7.0,-14.0,7.0,6.0,-15.0,6.0,-16.0,-16.0,6.0,-16.0,-16.0,-16.0,5.0,-16.0,6.0,-16.0,-17.0,7.0,-17.0,7.0,7.0,-17.0,-17.0,-17.0,-17.0,8.0,-17.0,8.0,3376.28
