subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_18,subcarrier_20,subcarrier_21,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_31,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_38,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_90,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_114,subcarrier_116,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
86.0,96.0,5.0,-1.0,31.0,-5.0,34.0,-11.0,25.0,-3.0,38.0,35.0,13.0,37.0,-1.0,-8.0,9.0,41.0,27.0,3.0,31.0,28.0,0.0,6.0,22.0,23.0,3.0,16.0,7.0,11.0,7.0,1.0,10.0,1.0,20.0,-10.0,23.0,-17.0,26.0,-22.0,24.0,35.0,-25.0,-7.0,-62.0,0.0,-67.0,4.0,-70.0,2.0,-68.0,6.0,10.0,-63.0,8.0,-55.0,10.0,-61.0,9.0,-53.0,-49.0,12.0,-39.0,3.0,11.0,-28.0,11.0,-26.0,6.0,-5.0,0.0,-2.0,-5.0,5.0,3.0,12.0,-6.0,13.0,-4.0,27.0,3.0,21.0,1661.59
86.0,96.0,5.0,15.0,9.0,19.0,15.0,19.0,12.0,15.0,4.0,10.0,16.0,16.0,14.0,17.0,20.0,4.0,6.0,16.0,10.0,3.0,11.0,16.0,6.0,-1.0,6.0,-1.0,4.0,4.0,3.0,-9.0,2.0,-12.0,-1.0,-11.0,-3.0,-13.0,-9.0,-17.0,-6.0,-6.0,-19.0,-29.0,-18.0,-25.0,-17.0,-28.0,-19.0,-33.0,-18.0,-32.0,-24.0,-19.0,-24.0,-25.0,-22.0,-22.0,-22.0,-15.0,-18.0,-13.0,-17.0,-10.0,-13.0,-11.0,-8.0,-10.0,-4.0,-10.0,0.0,-6.0,-1.0,3.0,6.0,10.0,10.0,1.0,12.0,2.0,14.0,4.0,1661.6
124.0,-64.0,7.0,-9.0,-20.0,2.0,-21.0,-2.0,-20.0,4.0,-14.0,-20.0,-1.0,-19.0,6.0,-1.0,-2.0,-25.0,-26.0,-6.0,-20.0,-16.0,-5.0,-8.0,-14.0,-10.0,-4.0,-9.0,-5.0,-9.0,-11.0,2.0,-10.0,4.0,-11.0,7.0,-13.0,8.0,-13.0,7.0,-19.0,-22.0,13.0,1.0,33.0,-2.0,33.0,-3.0,39.0,-8.0,39.0,-11.0,-11.0,39.0,-8.0,37.0,-10.0,31.0,-10.0,28.0,26.0,-5.0,29.0,-5.0,-5.0,15.0,-6.0,13.0,2.0,6.0,-1.0,-1.0,-2.0,-8.0,-4.0,-9.0,3.0,-11.0,-3.0,-19.0,5.0,-17.0,1661.6
-128.0,0.0,8.0,17.0,12.0,20.0,1.0,27.0,8.0,13.0,12.0,11.0,14.0,10.0,17.0,22.0,26.0,1.0,6.0,14.0,-1.0,0.0,19.0,11.0,-4.0,-4.0,5.0,-11.0,1.0,2.0,1.0,-13.0,5.0,-8.0,2.0,-14.0,-4.0,-12.0,3.0,-16.0,-8.0,0.0,-23.0,-28.0,-22.0,-32.0,-20.0,-37.0,-25.0,-32.0,-27.0,-34.0,-30.0,-29.0,-30.0,-23.0,-34.0,-27.0,-23.0,-21.0,-22.0,-16.0,-21.0,-15.0,-8.0,-18.0,-6.0,-6.0,-2.0,-5.0,-2.0,-5.0,3.0,-3.0,5.0,5.0,4.0,2.0,9.0,10.0,14.0,2.0,1661.61
124.0,-64.0,7.0,28.0,16.0,13.0,24.0,24.0,19.0,31.0,20.0,24.0,37.0,17.0,28.0,40.0,34.0,13.0,7.0,25.0,6.0,15.0,17.0,22.0,12.0,5.0,11.0,5.0,13.0,11.0,-4.0,-9.0,-4.0,-14.0,-8.0,-26.0,0.0,-23.0,-10.0,-36.0,-9.0,-5.0,-42.0,-38.0,-39.0,-41.0,-48.0,-48.0,-55.0,-44.0,-53.0,-52.0,-44.0,-55.0,-39.0,-48.0,-28.0,-56.0,-25.0,-51.0,-39.0,-22.0,-38.0,-13.0,-17.0,-25.0,-12.0,-10.0,-7.0,-7.0,-6.0,-2.0,8.0,13.0,4.0,3.0,20.0,15.0,18.0,18.0,25.0,17.0,1661.61
94.0,-32.0,5.0,25.0,-37.0,7.0,-41.0,20.0,-32.0,31.0,-46.0,-19.0,17.0,-32.0,7.0,13.0,26.0,-37.0,-34.0,14.0,-31.0,-38.0,0.0,4.0,-20.0,-24.0,4.0,-14.0,-1.0,-10.0,-13.0,-6.0,-17.0,0.0,-24.0,2.0,-32.0,4.0,-32.0,2.0,-29.0,-42.0,7.0,-27.0,53.0,-31.0,55.0,-40.0,60.0,-40.0,53.0,-38.0,-40.0,51.0,-45.0,50.0,-40.0,44.0,-31.0,47.0,39.0,-35.0,22.0,-26.0,-22.0,25.0,-17.0,17.0,-11.0,12.0,-4.0,-10.0,-1.0,-14.0,4.0,-11.0,12.0,-15.0,3.0,-18.0,8.0,-22.0,1661.62
124.0,-64.0,7.0,34.0,-22.0,35.0,-19.0,25.0,-23.0,39.0,-28.0,-29.0,41.0,-14.0,33.0,27.0,30.0,-37.0,-17.0,25.0,-18.0,-23.0,15.0,14.0,-25.0,-12.0,1.0,-13.0,-3.0,-12.0,-13.0,-4.0,-17.0,-8.0,-28.0,-2.0,-29.0,3.0,-34.0,1.0,-32.0,-38.0,2.0,-53.0,-5.0,-63.0,-5.0,-71.0,-2.0,-73.0,-7.0,-75.0,-68.0,-12.0,-64.0,-4.0,-66.0,-5.0,-54.0,-13.0,-14.0,-43.0,-10.0,-46.0,-36.0,-11.0,-22.0,1.0,-14.0,4.0,-9.0,-11.0,8.0,0.0,2.0,-12.0,17.0,-9.0,21.0,-12.0,29.0,-9.0,1661.62
124.0,-64.0,7.0,-24.0,-16.0,-34.0,-19.0,-25.0,-43.0,-36.0,-19.0,-27.0,-25.0,-30.0,-33.0,-32.0,-22.0,-35.0,-28.0,-26.0,-12.0,-21.0,-24.0,-16.0,-12.0,-7.0,-17.0,-2.0,-9.0,-8.0,-7.0,18.0,-7.0,13.0,-6.0,19.0,-16.0,24.0,-5.0,33.0,-6.0,0.0,36.0,30.0,47.0,41.0,49.0,38.0,58.0,25.0,57.0,35.0,31.0,68.0,29.0,55.0,19.0,61.0,15.0,43.0,45.0,26.0,46.0,8.0,3.0,37.0,3.0,21.0,7.0,12.0,1.0,0.0,-12.0,-7.0,-15.0,-7.0,-2.0,-18.0,-11.0,-12.0,-22.0,-36.0,1661.63
-39.0,-112.0,13.0,6.0,-6.0,1.0,-3.0,5.0,1.0,-1.0,3.0,2.0,-4.0,6.0,-7.0,-6.0,-11.0,14.0,12.0,-14.0,22.0,22.0,-13.0,-18.0,22.0,18.0,-9.0,15.0,-16.0,-22.0,-24.0,15.0,-23.0,5.0,-18.0,9.0,-24.0,-3.0,-21.0,-6.0,-17.0,-15.0,-11.0,2.0,7.0,6.0,10.0,6.0,11.0,4.0,7.0,8.0,18.0,2.0,13.0,3.0,22.0,9.0,21.0,10.0,2.0,23.0,-1.0,27.0,29.0,-4.0,29.0,-7.0,35.0,-6.0,21.0,24.0,19.0,-9.0,28.0,-11.0,20.0,-15.0,17.0,-10.0,11.0,-10.0,1661.64
98.0,32.0,6.0,2.0,-10.0,-1.0,-3.0,5.0,0.0,3.0,1.0,4.0,-14.0,10.0,12.0,1.0,0.0,15.0,17.0,-7.0,26.0,23.0,-4.0,-16.0,14.0,27.0,-15.0,27.0,-13.0,-17.0,-21.0,15.0,-25.0,9.0,-25.0,9.0,-20.0,3.0,-14.0,5.0,-18.0,-20.0,-5.0,10.0,2.0,12.0,-4.0,11.0,3.0,13.0,-6.0,14.0,19.0,-12.0,15.0,-12.0,19.0,-20.0,19.0,-14.0,-23.0,26.0,-16.0,28.0,15.0,-21.0,18.0,-19.0,27.0,-23.0,21.0,17.0,23.0,-34.0,9.0,-24.0,18.0,-21.0,8.0,-12.0,7.0,-14.0,1661.64
