subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_35,subcarrier_36,subcarrier_38,subcarrier_39,subcarrier_41,subcarrier_48,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_87,subcarrier_88,subcarrier_90,subcarrier_91,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_105,subcarrier_106,subcarrier_108,subcarrier_110,subcarrier_111,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_119,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_125,subcarrier_126,timestamp
-51.0,-48.0,12.0,-5.0,21.0,-9.0,24.0,-10.0,23.0,-10.0,-9.0,-9.0,20.0,-10.0,19.0,-8.0,20.0,-14.0,17.0,-13.0,19.0,19.0,-10.0,15.0,-10.0,16.0,-9.0,16.0,-10.0,11.0,12.0,-6.0,-6.0,4.0,2.0,-5.0,-2.0,-6.0,1.0,-11.0,30.0,12.0,34.0,11.0,35.0,10.0,7.0,36.0,8.0,2.0,36.0,35.0,4.0,0.0,33.0,-1.0,28.0,1.0,4.0,21.0,6.0,20.0,1.0,5.0,11.0,4.0,0.0,8.0,11.0,1.0,9.0,-1.0,16.0,18.0,-8.0,23.0,20.0,-5.0,1877.66
-66.0,-32.0,11.0,6.0,23.0,5.0,24.0,2.0,26.0,3.0,5.0,3.0,24.0,1.0,23.0,4.0,21.0,4.0,21.0,3.0,19.0,20.0,2.0,20.0,3.0,20.0,0.0,16.0,-1.0,15.0,15.0,-5.0,-1.0,8.0,9.0,-3.0,-4.0,-5.0,-7.0,-10.0,32.0,-11.0,33.0,-13.0,32.0,-16.0,-14.0,33.0,-17.0,-20.0,31.0,31.0,-21.0,-22.0,27.0,-17.0,26.0,-20.0,-14.0,20.0,-13.0,19.0,-7.0,-6.0,11.0,9.0,7.0,5.0,6.0,5.0,7.0,4.0,15.0,19.0,5.0,19.0,23.0,9.0,1877.67
-46.0,32.0,13.0,25.0,-14.0,24.0,-7.0,22.0,-12.0,25.0,22.0,25.0,-16.0,23.0,-9.0,21.0,-11.0,21.0,-12.0,18.0,-12.0,-15.0,16.0,-9.0,17.0,-9.0,17.0,-7.0,10.0,-11.0,-7.0,11.0,8.0,-5.0,-8.0,1.0,-3.0,7.0,-4.0,10.0,0.0,-33.0,-6.0,-33.0,-12.0,-38.0,-37.0,-17.0,-34.0,-35.0,-15.0,-20.0,-32.0,-34.0,-12.0,-26.0,-17.0,-25.0,-21.0,-9.0,-21.0,-9.0,-19.0,-16.0,-2.0,0.0,3.0,-8.0,-5.0,6.0,-14.0,16.0,-8.0,-9.0,20.0,-16.0,-10.0,22.0,1877.67
-128.0,0.0,8.0,-4.0,28.0,-6.0,22.0,-6.0,23.0,-10.0,-5.0,-8.0,25.0,-5.0,23.0,-2.0,24.0,-4.0,20.0,-6.0,19.0,24.0,-6.0,20.0,-4.0,19.0,-3.0,17.0,-7.0,14.0,12.0,-7.0,-5.0,8.0,6.0,-6.0,-5.0,-5.0,-4.0,-7.0,31.0,12.0,33.0,10.0,34.0,9.0,8.0,40.0,8.0,2.0,38.0,35.0,3.0,1.0,31.0,1.0,31.0,0.0,2.0,22.0,4.0,20.0,2.0,7.0,9.0,10.0,6.0,10.0,9.0,0.0,14.0,-2.0,16.0,20.0,-6.0,26.0,20.0,-3.0,1877.68
-126.0,32.0,8.0,-21.0,23.0,-18.0,13.0,-16.0,16.0,-20.0,-19.0,-18.0,15.0,-18.0,15.0,-21.0,13.0,-16.0,14.0,-17.0,18.0,13.0,-13.0,10.0,-12.0,16.0,-14.0,12.0,-13.0,12.0,8.0,-11.0,-10.0,2.0,1.0,-2.0,1.0,-9.0,0.0,-12.0,10.0,29.0,12.0,32.0,15.0,31.0,31.0,17.0,32.0,29.0,19.0,22.0,32.0,27.0,18.0,22.0,17.0,21.0,19.0,10.0,20.0,11.0,15.0,14.0,5.0,2.0,-2.0,6.0,10.0,-10.0,9.0,-13.0,8.0,12.0,-15.0,17.0,14.0,-15.0,1877.68
-127.0,16.0,8.0,24.0,-2.0,24.0,0.0,22.0,-1.0,19.0,22.0,26.0,0.0,23.0,0.0,18.0,-3.0,19.0,-4.0,20.0,-1.0,-2.0,18.0,-1.0,16.0,-3.0,16.0,1.0,10.0,-2.0,2.0,11.0,5.0,2.0,5.0,-3.0,-4.0,4.0,-8.0,2.0,3.0,-31.0,0.0,-31.0,2.0,-34.0,-37.0,-4.0,-34.0,-34.0,-5.0,-7.0,-35.0,-30.0,-10.0,-29.0,-9.0,-26.0,-22.0,-5.0,-21.0,-1.0,-18.0,-13.0,2.0,4.0,7.0,-7.0,-7.0,10.0,-3.0,9.0,-7.0,-6.0,18.0,-3.0,-5.0,22.0,1877.69
109.0,-48.0,6.0,5.0,25.0,4.0,23.0,5.0,26.0,5.0,2.0,5.0,23.0,5.0,20.0,6.0,20.0,4.0,19.0,6.0,20.0,18.0,4.0,21.0,5.0,16.0,5.0,16.0,0.0,16.0,14.0,2.0,-1.0,10.0,9.0,-4.0,-6.0,-4.0,-8.0,-6.0,34.0,-2.0,34.0,-1.0,35.0,-5.0,-5.0,37.0,-7.0,-13.0,36.0,35.0,-12.0,-11.0,27.0,-12.0,28.0,-10.0,-10.0,18.0,-9.0,18.0,-5.0,-4.0,14.0,10.0,9.0,4.0,7.0,5.0,10.0,7.0,18.0,14.0,5.0,20.0,20.0,4.0,1877.69
-128.0,0.0,8.0,-18.0,-18.0,-16.0,-19.0,-17.0,-15.0,-18.0,-17.0,-16.0,-16.0,-17.0,-14.0,-17.0,-15.0,-15.0,-14.0,-16.0,-16.0,-14.0,-14.0,-16.0,-15.0,-14.0,-13.0,-14.0,-9.0,-13.0,-15.0,-9.0,-7.0,-7.0,-10.0,7.0,8.0,1.0,6.0,1.0,-31.0,17.0,-29.0,15.0,-30.0,20.0,25.0,-30.0,23.0,27.0,-25.0,-29.0,23.0,23.0,-26.0,23.0,-23.0,20.0,19.0,-16.0,14.0,-16.0,15.0,9.0,-12.0,-12.0,-11.0,2.0,-3.0,-7.0,-7.0,-10.0,-12.0,-11.0,-16.0,-14.0,-16.0,-19.0,1877.7
-128.0,0.0,8.0,8.0,-23.0,5.0,-26.0,8.0,-25.0,10.0,6.0,6.0,-26.0,5.0,-18.0,7.0,-22.0,7.0,-21.0,4.0,-23.0,-17.0,8.0,-21.0,6.0,-19.0,8.0,-16.0,8.0,-17.0,-14.0,7.0,4.0,-7.0,-5.0,3.0,1.0,4.0,0.0,10.0,-32.0,-10.0,-34.0,-10.0,-34.0,-9.0,-7.0,-37.0,-5.0,-5.0,-37.0,-36.0,-4.0,-2.0,-33.0,1.0,-29.0,-1.0,-2.0,-24.0,-1.0,-18.0,-2.0,-3.0,-15.0,-8.0,-6.0,-10.0,-11.0,-1.0,-13.0,0.0,-19.0,-18.0,0.0,-19.0,-24.0,1.0,1877.71
-128.0,0.0,8.0,18.0,-16.0,17.0,-13.0,17.0,-18.0,13.0,17.0,16.0,-12.0,15.0,-14.0,15.0,-14.0,20.0,-13.0,14.0,-9.0,-13.0,14.0,-7.0,14.0,-10.0,14.0,-11.0,13.0,-10.0,-8.0,10.0,7.0,-3.0,1.0,-2.0,-3.0,7.0,2.0,9.0,-17.0,-34.0,-14.0,-30.0,-18.0,-32.0,-34.0,-25.0,-25.0,-29.0,-20.0,-23.0,-28.0,-24.0,-22.0,-25.0,-23.0,-21.0,-22.0,-16.0,-17.0,-10.0,-15.0,-16.0,-8.0,-4.0,3.0,-13.0,-10.0,8.0,-11.0,14.0,-13.0,-15.0,16.0,-12.0,-16.0,17.0,1877.71
