subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_27,subcarrier_29,subcarrier_30,subcarrier_32,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_90,subcarrier_91,subcarrier_93,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_100,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-116.0,-64.0,8.0,-6.0,-15.0,-8.0,-20.0,-9.0,-19.0,-6.0,-25.0,-13.0,-22.0,-15.0,-25.0,-14.0,-25.0,-14.0,-22.0,-13.0,-23.0,-12.0,-13.0,-21.0,-20.0,-10.0,-14.0,-13.0,-18.0,-9.0,-13.0,-6.0,-9.0,-3.0,-2.0,-5.0,-3.0,-4.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,8.0,32.0,7.0,29.0,6.0,31.0,9.0,32.0,6.0,29.0,9.0,33.0,9.0,5.0,30.0,30.0,24.0,4.0,24.0,3.0,1.0,16.0,1.0,10.0,-2.0,8.0,0.0,3.0,-5.0,-1.0,-8.0,1.0,-4.0,-3.0,-6.0,-6.0,-9.0,-7.0,-5.0,-13.0,-8.0,-15.0,-9.0,-16.0,1932.08
100.0,64.0,6.0,-8.0,11.0,-2.0,5.0,-6.0,8.0,-2.0,8.0,-2.0,8.0,-9.0,12.0,-11.0,9.0,-8.0,2.0,-7.0,-2.0,-4.0,-5.0,9.0,5.0,-7.0,-11.0,1.0,2.0,-3.0,19.0,-6.0,14.0,0.0,6.0,8.0,3.0,11.0,2.0,7.0,13.0,4.0,5.0,-2.0,9.0,4.0,-6.0,1.0,-8.0,3.0,-8.0,1.0,0.0,-4.0,-8.0,-9.0,-8.0,-14.0,-8.0,-11.0,-8.0,-4.0,-9.0,-4.0,-14.0,-10.0,-6.0,-5.0,-12.0,-11.0,-12.0,-8.0,-10.0,-20.0,-2.0,-9.0,-7.0,-14.0,-4.0,-13.0,-1.0,2.0,1.0,-6.0,3.0,-4.0,7.0,-7.0,8.0,1932.09
94.0,-31.0,21.0,2.0,-13.0,0.0,-9.0,1.0,0.0,7.0,5.0,4.0,-4.0,8.0,-1.0,13.0,8.0,15.0,8.0,10.0,14.0,22.0,18.0,14.0,15.0,19.0,20.0,20.0,18.0,19.0,23.0,8.0,22.0,5.0,12.0,15.0,9.0,21.0,17.0,4.0,14.0,-5.0,14.0,-6.0,17.0,5.0,6.0,8.0,9.0,6.0,3.0,4.0,4.0,4.0,1.0,11.0,-6.0,8.0,4.0,-7.0,-9.0,-18.0,10.0,-16.0,4.0,15.0,-20.0,16.0,-27.0,7.0,-26.0,6.0,-31.0,1.0,-38.0,5.0,-26.0,-4.0,-25.0,4.0,-23.0,5.0,-22.0,-6.0,-30.0,-1.0,-20.0,2.0,-16.0,1932.09
74.0,-95.0,20.0,-3.0,3.0,-5.0,9.0,-11.0,-3.0,-8.0,-1.0,-14.0,0.0,-9.0,-11.0,-20.0,-5.0,-11.0,-13.0,-23.0,-11.0,-23.0,-20.0,-18.0,-24.0,-22.0,-21.0,-22.0,-26.0,-15.0,-20.0,-15.0,-22.0,-10.0,-5.0,-17.0,-6.0,-27.0,-20.0,9.0,-16.0,6.0,-13.0,4.0,-10.0,0.0,-8.0,-7.0,-3.0,-3.0,-9.0,-5.0,-2.0,-13.0,0.0,-19.0,0.0,-9.0,-21.0,7.0,15.0,14.0,-17.0,13.0,-11.0,-15.0,20.0,-18.0,27.0,-10.0,31.0,-6.0,27.0,-20.0,29.0,-11.0,24.0,-10.0,33.0,-9.0,36.0,-1.0,19.0,-2.0,23.0,4.0,18.0,-1.0,24.0,1932.1
-98.0,-32.0,9.0,-6.0,5.0,-10.0,6.0,-9.0,5.0,-1.0,-1.0,-5.0,-10.0,-8.0,-3.0,-9.0,-8.0,-11.0,-8.0,-11.0,-19.0,-12.0,-15.0,-20.0,-24.0,-8.0,-13.0,-11.0,-28.0,-7.0,-27.0,-3.0,-26.0,-1.0,1.0,-24.0,-1.0,-19.0,-17.0,7.0,-15.0,9.0,-17.0,13.0,-12.0,0.0,-8.0,-5.0,-9.0,-2.0,-7.0,-2.0,-8.0,-8.0,-4.0,-9.0,-5.0,-12.0,-14.0,-5.0,-7.0,0.0,-17.0,5.0,-22.0,-21.0,9.0,-22.0,9.0,-17.0,11.0,-26.0,17.0,-27.0,20.0,-22.0,14.0,-24.0,20.0,-18.0,17.0,-17.0,16.0,-7.0,17.0,-12.0,21.0,-10.0,12.0,1932.11
98.0,32.0,6.0,-1.0,14.0,-7.0,7.0,-6.0,9.0,-6.0,3.0,-7.0,3.0,-10.0,-2.0,-15.0,-6.0,-25.0,-3.0,-19.0,-8.0,-13.0,-25.0,-17.0,-17.0,-28.0,-20.0,-23.0,-20.0,-33.0,-24.0,-20.0,-28.0,-12.0,-13.0,-20.0,-10.0,-20.0,-17.0,4.0,-25.0,0.0,-22.0,7.0,-16.0,-16.0,-7.0,-5.0,-7.0,-8.0,-7.0,-18.0,-3.0,-13.0,-1.0,-17.0,1.0,-10.0,-17.0,7.0,11.0,13.0,-22.0,19.0,-18.0,-17.0,24.0,-20.0,23.0,-21.0,23.0,-13.0,30.0,-14.0,27.0,-3.0,32.0,-5.0,36.0,-16.0,41.0,-2.0,37.0,0.0,29.0,-5.0,28.0,6.0,19.0,1932.12
-85.0,-80.0,10.0,17.0,15.0,15.0,15.0,21.0,12.0,18.0,17.0,18.0,17.0,25.0,19.0,9.0,8.0,21.0,18.0,18.0,19.0,19.0,23.0,17.0,15.0,18.0,38.0,14.0,9.0,12.0,10.0,8.0,7.0,-20.0,4.0,1.0,1.0,0.0,-1.0,-2.0,13.0,-2.0,-8.0,-4.0,-6.0,-11.0,-38.0,-10.0,-37.0,-7.0,-30.0,-12.0,-37.0,-13.0,-41.0,-11.0,-33.0,-21.0,-13.0,-34.0,-34.0,-30.0,-17.0,-48.0,-5.0,-2.0,-21.0,1.0,18.0,2.0,-10.0,1.0,-6.0,6.0,-5.0,-11.0,27.0,8.0,0.0,7.0,1.0,36.0,-3.0,13.0,7.0,14.0,15.0,16.0,10.0,1932.13
-65.0,-16.0,11.0,-19.0,-6.0,-17.0,-1.0,-20.0,-4.0,-20.0,-6.0,-21.0,-4.0,-19.0,-4.0,-24.0,-10.0,-17.0,-3.0,-23.0,-5.0,-23.0,-23.0,-1.0,-9.0,-15.0,-9.0,-15.0,3.0,-8.0,7.0,-11.0,13.0,-20.0,1.0,-6.0,-11.0,-4.0,-7.0,-4.0,-1.0,2.0,-7.0,-2.0,-5.0,-13.0,23.0,-17.0,24.0,-13.0,25.0,-8.0,24.0,-12.0,29.0,-13.0,25.0,-7.0,-2.0,26.0,19.0,24.0,2.0,21.0,-1.0,-8.0,9.0,-4.0,6.0,7.0,6.0,-4.0,-1.0,-12.0,2.0,-6.0,-4.0,3.0,1.0,-1.0,-5.0,-1.0,5.0,-15.0,-3.0,-6.0,3.0,-8.0,-9.0,1932.14
94.0,-32.0,5.0,-20.0,14.0,-26.0,9.0,-24.0,14.0,-21.0,9.0,-25.0,15.0,-22.0,12.0,-21.0,13.0,-23.0,12.0,-21.0,10.0,-20.0,-22.0,14.0,13.0,-15.0,-15.0,-12.0,11.0,-10.0,8.0,-11.0,9.0,-4.0,-1.0,5.0,-2.0,1.0,-2.0,3.0,1.0,5.0,-2.0,4.0,-4.0,33.0,3.0,32.0,2.0,31.0,6.0,31.0,2.0,34.0,0.0,32.0,1.0,30.0,27.0,1.0,1.0,1.0,21.0,0.0,19.0,17.0,3.0,7.0,2.0,7.0,7.0,4.0,8.0,-3.0,1.0,-3.0,6.0,-7.0,5.0,-8.0,6.0,-11.0,7.0,-13.0,11.0,-14.0,8.0,-14.0,7.0,1932.14
124.0,-64.0,7.0,-17.0,-16.0,-20.0,-17.0,-21.0,-14.0,-22.0,-19.0,-24.0,-13.0,-22.0,-16.0,-22.0,-16.0,-22.0,-15.0,-21.0,-14.0,-24.0,-25.0,-11.0,-9.0,-22.0,-16.0,-11.0,-6.0,-12.0,-10.0,-15.0,-4.0,-8.0,-4.0,-2.0,-5.0,1.0,0.0,1.0,4.0,8.0,5.0,6.0,8.0,15.0,35.0,17.0,37.0,16.0,31.0,15.0,36.0,18.0,35.0,14.0,35.0,16.0,15.0,29.0,26.0,27.0,8.0,25.0,13.0,0.0,14.0,1.0,15.0,0.0,11.0,-2.0,9.0,-4.0,3.0,-11.0,0.0,-8.0,-3.0,-10.0,-1.0,-10.0,-8.0,-16.0,-2.0,-16.0,-8.0,-14.0,-6.0,1932.15
