subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_25,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_126,subcarrier_127,timestamp
-73.0,113.0,27.0,-11.0,14.0,21.0,-7.0,20.0,-11.0,-14.0,10.0,-11.0,17.0,-20.0,25.0,-11.0,19.0,-2.0,-13.0,9.0,30.0,-10.0,27.0,-4.0,17.0,-18.0,5.0,-15.0,-5.0,7.0,-9.0,3.0,-2.0,8.0,-1.0,-2.0,2.0,9.0,4.0,-2.0,-2.0,-13.0,5.0,-15.0,4.0,-7.0,26.0,-15.0,22.0,-18.0,32.0,-12.0,28.0,-18.0,24.0,-12.0,30.0,-13.0,-21.0,30.0,-23.0,33.0,-26.0,31.0,-10.0,-19.0,13.0,-9.0,21.0,5.0,26.0,-12.0,24.0,5.0,-1.0,-2.0,-18.0,5.0,13.0,-2.0,-8.0,-1.0,1.0,4.0,-2.0,10.0,-13.0,1.0,-12.0,15.0,-4.0,-12.0,3.0,1959.11
-85.0,-79.0,26.0,-11.0,-4.0,-4.0,-14.0,-14.0,-21.0,-18.0,-10.0,-15.0,-11.0,-14.0,-9.0,-15.0,-1.0,-11.0,-20.0,-5.0,-5.0,-10.0,7.0,-15.0,6.0,-5.0,4.0,-19.0,-11.0,-15.0,-7.0,4.0,-7.0,1.0,4.0,-3.0,-2.0,1.0,-2.0,5.0,6.0,-3.0,1.0,-5.0,14.0,4.0,0.0,23.0,-3.0,26.0,5.0,24.0,2.0,29.0,3.0,24.0,10.0,32.0,23.0,5.0,29.0,9.0,24.0,5.0,25.0,31.0,4.0,15.0,2.0,29.0,-3.0,12.0,4.0,3.0,-8.0,9.0,1.0,7.0,7.0,-6.0,1.0,-4.0,9.0,4.0,-2.0,-7.0,-7.0,-9.0,-1.0,-10.0,-1.0,-6.0,-3.0,1959.11
101.0,81.0,22.0,-3.0,9.0,22.0,-11.0,17.0,-7.0,2.0,39.0,-4.0,25.0,3.0,19.0,12.0,31.0,3.0,2.0,26.0,22.0,6.0,29.0,19.0,21.0,-1.0,19.0,3.0,11.0,11.0,0.0,11.0,-2.0,5.0,7.0,0.0,3.0,-7.0,0.0,9.0,-5.0,3.0,-11.0,2.0,-13.0,-11.0,31.0,11.0,33.0,18.0,39.0,15.0,37.0,10.0,37.0,8.0,36.0,5.0,0.0,40.0,-5.0,35.0,1.0,42.0,-4.0,7.0,35.0,-5.0,26.0,4.0,28.0,3.0,17.0,-2.0,14.0,6.0,8.0,2.0,8.0,-9.0,3.0,1.0,-8.0,16.0,-7.0,13.0,-5.0,5.0,-13.0,-1.0,6.0,-14.0,9.0,1959.12
-65.0,-15.0,27.0,9.0,-10.0,1.0,11.0,-8.0,13.0,15.0,-9.0,18.0,-18.0,11.0,-11.0,20.0,-11.0,10.0,8.0,-25.0,-8.0,1.0,-21.0,9.0,-8.0,21.0,-8.0,12.0,8.0,-10.0,6.0,-16.0,1.0,-3.0,7.0,0.0,3.0,3.0,1.0,4.0,6.0,8.0,4.0,5.0,-1.0,10.0,-24.0,-12.0,-26.0,-10.0,-31.0,-10.0,-24.0,-10.0,-31.0,-6.0,-27.0,-12.0,-13.0,-30.0,-15.0,-34.0,-10.0,-28.0,-15.0,2.0,-25.0,-10.0,-36.0,-9.0,-25.0,-12.0,-23.0,-5.0,-15.0,-7.0,-10.0,-3.0,8.0,8.0,-18.0,-16.0,-16.0,-1.0,-9.0,-19.0,12.0,-12.0,-9.0,-4.0,9.0,13.0,-12.0,1959.12
123.0,-77.0,55.0,6.0,-9.0,-17.0,14.0,-13.0,18.0,13.0,-20.0,13.0,-21.0,11.0,-17.0,10.0,-13.0,26.0,12.0,-26.0,-27.0,14.0,-23.0,8.0,-20.0,0.0,-4.0,4.0,5.0,1.0,4.0,6.0,-1.0,-10.0,-5.0,-10.0,11.0,-5.0,0.0,6.0,-6.0,7.0,-3.0,16.0,-9.0,6.0,-36.0,3.0,-32.0,-1.0,-35.0,9.0,-37.0,3.0,-36.0,5.0,-41.0,1.0,0.0,-44.0,6.0,-37.0,2.0,-24.0,1.0,-4.0,-34.0,7.0,-22.0,13.0,-22.0,3.0,-14.0,8.0,-33.0,13.0,4.0,-19.0,3.0,-7.0,3.0,12.0,-11.0,-2.0,6.0,-18.0,9.0,-4.0,-5.0,-1.0,0.0,5.0,-18.0,1959.13
-11.0,81.0,31.0,16.0,4.0,3.0,22.0,4.0,22.0,23.0,2.0,31.0,-4.0,26.0,-1.0,19.0,-4.0,32.0,18.0,-10.0,-10.0,27.0,-15.0,20.0,-14.0,4.0,-1.0,8.0,26.0,2.0,8.0,1.0,-5.0,2.0,4.0,3.0,-8.0,-6.0,10.0,-1.0,-4.0,2.0,-6.0,13.0,-4.0,3.0,-8.0,-29.0,-4.0,-32.0,-8.0,-36.0,-7.0,-33.0,-12.0,-36.0,-7.0,-34.0,-33.0,-14.0,-37.0,-7.0,-22.0,-22.0,-27.0,-27.0,-13.0,-15.0,-13.0,-16.0,-20.0,-13.0,-7.0,-16.0,-5.0,-5.0,-14.0,4.0,-23.0,-17.0,-4.0,-18.0,-5.0,-5.0,3.0,-9.0,12.0,-5.0,4.0,-13.0,2.0,12.0,11.0,1959.13
-109.0,49.0,25.0,14.0,-6.0,5.0,14.0,-5.0,13.0,19.0,-3.0,23.0,-5.0,29.0,1.0,13.0,-1.0,25.0,21.0,3.0,-4.0,20.0,-10.0,27.0,2.0,16.0,-3.0,17.0,3.0,-5.0,9.0,-8.0,1.0,-4.0,4.0,4.0,1.0,3.0,-6.0,2.0,0.0,-5.0,-14.0,-2.0,-2.0,-5.0,-28.0,1.0,-33.0,3.0,-29.0,7.0,-35.0,-3.0,-31.0,1.0,-39.0,0.0,6.0,-30.0,5.0,-28.0,5.0,-37.0,-4.0,9.0,-17.0,-1.0,-29.0,-6.0,-22.0,0.0,-13.0,-4.0,-2.0,-1.0,3.0,-6.0,1.0,-7.0,-13.0,2.0,-6.0,1.0,5.0,6.0,-1.0,-3.0,15.0,-6.0,4.0,8.0,-6.0,1959.14
77.0,-47.0,20.0,-22.0,10.0,8.0,-14.0,7.0,-17.0,-19.0,10.0,-20.0,9.0,-19.0,10.0,-17.0,4.0,-25.0,-23.0,11.0,16.0,-15.0,14.0,-15.0,3.0,-23.0,2.0,-21.0,-26.0,7.0,-9.0,8.0,-2.0,-7.0,3.0,6.0,2.0,-7.0,1.0,-3.0,1.0,-2.0,2.0,2.0,7.0,6.0,16.0,-25.0,19.0,-30.0,14.0,-26.0,17.0,-33.0,18.0,-25.0,21.0,-28.0,-27.0,24.0,-30.0,14.0,-25.0,21.0,-23.0,-22.0,9.0,-21.0,16.0,-22.0,22.0,-11.0,7.0,-16.0,9.0,-16.0,-4.0,7.0,5.0,-1.0,7.0,-1.0,-5.0,8.0,-3.0,1.0,-5.0,4.0,-10.0,2.0,-14.0,-14.0,11.0,1959.17
57.0,-111.0,19.0,-11.0,-17.0,-21.0,-6.0,-16.0,-4.0,-5.0,-18.0,2.0,-22.0,-10.0,-13.0,-3.0,-16.0,-13.0,-11.0,-10.0,-23.0,-9.0,-26.0,0.0,-19.0,-8.0,-3.0,-10.0,-4.0,-10.0,-4.0,-18.0,-1.0,-6.0,-2.0,-13.0,-8.0,-3.0,4.0,6.0,-5.0,4.0,-3.0,4.0,5.0,8.0,-5.0,24.0,-6.0,29.0,-6.0,25.0,-9.0,30.0,-7.0,26.0,-3.0,30.0,29.0,-5.0,24.0,-8.0,30.0,1.0,26.0,17.0,-8.0,33.0,4.0,26.0,-7.0,9.0,8.0,10.0,-3.0,5.0,11.0,-13.0,6.0,-8.0,2.0,0.0,-6.0,-6.0,8.0,1.0,-9.0,-5.0,2.0,-2.0,-11.0,-11.0,-11.0,1959.17
-67.0,-47.0,27.0,-19.0,12.0,15.0,-11.0,12.0,-11.0,-12.0,11.0,-15.0,9.0,-19.0,16.0,-19.0,17.0,-20.0,-23.0,20.0,24.0,-19.0,17.0,-21.0,12.0,-25.0,8.0,-18.0,-15.0,15.0,-4.0,13.0,-5.0,2.0,-12.0,2.0,-1.0,-1.0,-5.0,-5.0,11.0,-9.0,4.0,-10.0,7.0,0.0,28.0,-9.0,31.0,-15.0,28.0,-11.0,29.0,-12.0,27.0,-17.0,34.0,-14.0,-11.0,30.0,-21.0,31.0,-10.0,28.0,-17.0,-6.0,30.0,-10.0,21.0,-18.0,19.0,-15.0,4.0,-2.0,15.0,11.0,1.0,8.0,6.0,-10.0,-3.0,-8.0,9.0,-5.0,-8.0,12.0,-10.0,-4.0,-5.0,10.0,4.0,-4.0,7.0,1959.18
