subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_13,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_94,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_103,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-32.0,6.0,53.0,-12.0,36.0,36.0,-4.0,45.0,66.0,9.0,44.0,-19.0,70.0,5.0,49.0,-39.0,50.0,-16.0,45.0,-27.0,51.0,35.0,-16.0,31.0,-7.0,30.0,-14.0,30.0,-11.0,14.0,-14.0,10.0,-4.0,4.0,6.0,-4.0,11.0,-7.0,1.0,-16.0,1.0,-25.0,7.0,-50.0,26.0,-54.0,24.0,-53.0,23.0,-55.0,23.0,-48.0,25.0,-47.0,20.0,-51.0,28.0,-54.0,15.0,-52.0,-47.0,-31.0,9.0,-38.0,2.0,1.0,5.0,-21.0,-5.0,-15.0,-2.0,7.0,4.0,1.0,-7.0,8.0,-5.0,-16.0,4.0,-13.0,22.0,-11.0,37.0,5.0,27.0,-16.0,18.0,-16.0,2121.09
-96.0,5.0,-5.0,-4.0,-2.0,8.0,0.0,5.0,4.0,-3.0,15.0,-8.0,11.0,-12.0,8.0,-4.0,11.0,-4.0,19.0,-8.0,18.0,15.0,-4.0,21.0,-1.0,18.0,2.0,22.0,1.0,22.0,6.0,18.0,9.0,15.0,11.0,11.0,13.0,11.0,15.0,9.0,18.0,-4.0,14.0,7.0,-9.0,6.0,-8.0,3.0,-12.0,1.0,-11.0,-5.0,-5.0,-1.0,-13.0,-2.0,-11.0,-2.0,-16.0,-11.0,-13.0,-14.0,-20.0,-12.0,-27.0,-21.0,-30.0,-17.0,-22.0,-15.0,-20.0,-22.0,-18.0,-22.0,-23.0,-12.0,-22.0,-23.0,-24.0,-15.0,-21.0,-15.0,-19.0,-10.0,-13.0,2.0,-11.0,-2.0,2121.13
65.0,17.0,-2.0,-13.0,8.0,3.0,-3.0,-1.0,6.0,-1.0,4.0,14.0,15.0,10.0,8.0,18.0,10.0,9.0,9.0,16.0,9.0,7.0,19.0,14.0,15.0,9.0,23.0,6.0,30.0,6.0,19.0,7.0,18.0,-1.0,-9.0,23.0,18.0,-8.0,15.0,-13.0,14.0,-17.0,5.0,5.0,5.0,8.0,0.0,11.0,4.0,10.0,-6.0,11.0,1.0,14.0,-5.0,9.0,-13.0,14.0,-7.0,15.0,19.0,18.0,-15.0,24.0,-17.0,-24.0,-24.0,17.0,-33.0,7.0,-23.0,11.0,-37.0,7.0,-39.0,4.0,4.0,-25.0,11.0,-26.0,3.0,-19.0,15.0,-21.0,12.0,-10.0,1.0,-18.0,2121.14
32.0,8.0,7.0,-6.0,9.0,0.0,-4.0,3.0,7.0,5.0,3.0,8.0,4.0,7.0,3.0,12.0,1.0,17.0,8.0,10.0,-2.0,11.0,26.0,-2.0,12.0,-6.0,23.0,0.0,15.0,2.0,18.0,-5.0,21.0,1.0,-7.0,17.0,16.0,-8.0,13.0,-13.0,15.0,-13.0,7.0,1.0,7.0,6.0,13.0,2.0,4.0,10.0,6.0,6.0,5.0,10.0,1.0,8.0,-1.0,20.0,-6.0,17.0,16.0,19.0,-10.0,18.0,-7.0,-4.0,-7.0,25.0,-10.0,29.0,-14.0,20.0,-15.0,31.0,-14.0,23.0,11.0,-14.0,23.0,-14.0,13.0,-11.0,13.0,-17.0,6.0,-10.0,9.0,-7.0,2121.14
-31.0,24.0,-6.0,10.0,2.0,4.0,8.0,-14.0,-14.0,2.0,-14.0,-2.0,-12.0,10.0,-8.0,5.0,-22.0,8.0,-17.0,7.0,-24.0,-21.0,4.0,-20.0,7.0,-25.0,0.0,-22.0,2.0,-23.0,3.0,-29.0,2.0,-29.0,-17.0,-8.0,-11.0,-11.0,-16.0,-15.0,-5.0,-10.0,-9.0,-6.0,2.0,-5.0,0.0,-9.0,-6.0,-7.0,0.0,-8.0,10.0,-12.0,14.0,-10.0,22.0,-15.0,16.0,-9.0,-9.0,-3.0,34.0,3.0,24.0,35.0,26.0,3.0,27.0,7.0,38.0,-1.0,18.0,4.0,28.0,16.0,6.0,31.0,10.0,16.0,6.0,23.0,12.0,15.0,11.0,12.0,11.0,17.0,2121.15
-31.0,21.0,6.0,0.0,5.0,8.0,-4.0,5.0,8.0,-3.0,12.0,4.0,5.0,5.0,10.0,14.0,6.0,3.0,15.0,8.0,12.0,13.0,9.0,9.0,13.0,10.0,16.0,10.0,15.0,9.0,12.0,8.0,19.0,6.0,1.0,20.0,15.0,-7.0,12.0,-6.0,15.0,-10.0,7.0,7.0,-3.0,6.0,-5.0,10.0,-3.0,9.0,-8.0,8.0,-9.0,9.0,-18.0,11.0,-13.0,6.0,-15.0,6.0,7.0,5.0,-19.0,7.0,-24.0,-33.0,-29.0,5.0,-27.0,5.0,-27.0,4.0,-29.0,-1.0,-30.0,2.0,2.0,-25.0,2.0,-22.0,-1.0,-20.0,3.0,-19.0,0.0,-18.0,-6.0,-13.0,2121.15
32.0,6.0,10.0,5.0,-4.0,1.0,3.0,-6.0,-11.0,4.0,-9.0,3.0,-17.0,9.0,-12.0,8.0,-22.0,6.0,-15.0,7.0,-24.0,-18.0,13.0,-19.0,5.0,-28.0,10.0,-26.0,3.0,-24.0,-4.0,-23.0,-7.0,-18.0,-17.0,-4.0,-7.0,-12.0,-7.0,-13.0,-15.0,-4.0,-12.0,-7.0,4.0,-6.0,10.0,-6.0,9.0,-6.0,8.0,0.0,9.0,0.0,15.0,4.0,25.0,5.0,17.0,4.0,9.0,7.0,26.0,11.0,22.0,23.0,24.0,20.0,17.0,21.0,18.0,19.0,27.0,23.0,21.0,26.0,21.0,7.0,17.0,16.0,17.0,16.0,22.0,11.0,19.0,10.0,15.0,14.0,2121.16
-64.0,7.0,-7.0,-10.0,5.0,11.0,-8.0,2.0,7.0,1.0,9.0,2.0,10.0,13.0,7.0,5.0,7.0,11.0,15.0,12.0,17.0,15.0,10.0,16.0,22.0,23.0,22.0,14.0,9.0,10.0,22.0,10.0,20.0,8.0,1.0,16.0,17.0,2.0,13.0,3.0,15.0,-13.0,9.0,7.0,1.0,5.0,1.0,10.0,-2.0,8.0,-5.0,8.0,-5.0,4.0,-5.0,3.0,-16.0,9.0,-19.0,5.0,10.0,6.0,-31.0,4.0,-28.0,-25.0,-19.0,-3.0,-27.0,0.0,-31.0,-1.0,-29.0,0.0,-22.0,-2.0,4.0,-25.0,-13.0,-25.0,1.0,-24.0,0.0,-23.0,-1.0,-18.0,1.0,-22.0,2121.17
-64.0,6.0,-5.0,2.0,4.0,-6.0,-3.0,-4.0,-9.0,10.0,-16.0,-9.0,-7.0,-5.0,-19.0,-14.0,-17.0,-12.0,-12.0,-12.0,-19.0,-22.0,-10.0,-13.0,-12.0,-19.0,-16.0,-13.0,-18.0,-19.0,-18.0,-9.0,-20.0,-10.0,-5.0,-21.0,-16.0,3.0,-13.0,4.0,-14.0,11.0,-16.0,-9.0,5.0,-17.0,0.0,-8.0,-2.0,-8.0,8.0,-8.0,9.0,-10.0,14.0,-5.0,10.0,-13.0,12.0,-17.0,-15.0,-8.0,21.0,-6.0,28.0,28.0,25.0,-15.0,21.0,-5.0,32.0,-11.0,37.0,-8.0,32.0,-7.0,6.0,26.0,6.0,11.0,1.0,18.0,3.0,19.0,1.0,22.0,-2.0,5.0,2121.17
-63.0,23.0,-26.0,7.0,-32.0,-27.0,5.0,-30.0,-29.0,7.0,-37.0,6.0,-32.0,6.0,-36.0,7.0,-29.0,4.0,-30.0,6.0,-23.0,-31.0,11.0,-27.0,8.0,-22.0,8.0,-21.0,5.0,-19.0,9.0,-13.0,8.0,-8.0,-4.0,-1.0,3.0,7.0,1.0,4.0,-4.0,12.0,-3.0,27.0,-11.0,29.0,-10.0,34.0,-9.0,33.0,-7.0,32.0,-10.0,35.0,-11.0,31.0,-12.0,27.0,-11.0,26.0,25.0,20.0,-1.0,23.0,-4.0,-5.0,-2.0,9.0,-1.0,1.0,-2.0,4.0,-2.0,-2.0,-3.0,1.0,-7.0,1.0,-10.0,1.0,-9.0,-5.0,-13.0,-4.0,-17.0,3.0,-18.0,1.0,2121.18
-64.0,6.0,3.0,-20.0,-1.0,3.0,-22.0,1.0,2.0,-28.0,1.0,-30.0,0.0,-27.0,-7.0,-28.0,3.0,-27.0,-4.0,-27.0,-3.0,1.0,-29.0,0.0,-32.0,-1.0,-30.0,-8.0,-13.0,13.0,-16.0,-1.0,-16.0,3.0,8.0,-5.0,-5.0,-2.0,7.0,0.0,11.0,-2.0,4.0,19.0,15.0,22.0,15.0,16.0,19.0,20.0,22.0,14.0,21.0,13.0,23.0,23.0,25.0,11.0,25.0,15.0,2.0,16.0,9.0,6.0,11.0,15.0,6.0,8.0,3.0,3.0,3.0,4.0,-13.0,1.0,-1.0,-10.0,7.0,-6.0,3.0,-10.0,-4.0,-16.0,6.0,-17.0,-1.0,-17.0,5.0,-17.0,2121.18
