subcarrier_1,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_45,subcarrier_47,subcarrier_48,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_89,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_109,subcarrier_111,subcarrier_113,subcarrier_114,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_127,timestamp
-111.0,0.0,-8.0,2.0,-8.0,0.0,-10.0,0.0,1.0,-7.0,-10.0,-11.0,-9.0,-1.0,-16.0,-8.0,-19.0,1.0,-17.0,1.0,-9.0,-28.0,1.0,-24.0,-5.0,-3.0,-22.0,2.0,-22.0,-17.0,-18.0,14.0,14.0,-7.0,-2.0,-9.0,-5.0,-6.0,-5.0,-11.0,-3.0,-11.0,-5.0,-14.0,-9.0,0.0,-2.0,-22.0,-3.0,-25.0,-13.0,-30.0,-7.0,-23.0,0.0,-25.0,0.0,-32.0,4.0,-28.0,11.0,-29.0,13.0,11.0,9.0,-27.0,-17.0,21.0,-16.0,-29.0,22.0,-23.0,21.0,-18.0,7.0,0.0,2503.89
-47.0,-4.0,6.0,-2.0,-4.0,-14.0,5.0,-7.0,-10.0,3.0,-10.0,13.0,-13.0,10.0,2.0,19.0,6.0,19.0,-8.0,17.0,16.0,-1.0,20.0,3.0,24.0,15.0,10.0,21.0,6.0,17.0,12.0,-2.0,-1.0,15.0,14.0,-16.0,11.0,-11.0,-8.0,-13.0,-6.0,-15.0,0.0,-10.0,-6.0,-21.0,-18.0,-12.0,-23.0,-11.0,-18.0,-24.0,-14.0,-15.0,-13.0,-19.0,-14.0,-26.0,-19.0,-28.0,-15.0,-24.0,-26.0,-22.0,-11.0,-33.0,-12.0,-15.0,-23.0,-30.0,-12.0,-18.0,-5.0,-11.0,-14.0,-8.0,2503.89
-48.0,0.0,-15.0,-6.0,0.0,-6.0,1.0,-12.0,-6.0,-1.0,-17.0,8.0,-19.0,7.0,-12.0,-2.0,-20.0,14.0,-15.0,10.0,10.0,-27.0,20.0,-21.0,11.0,23.0,-21.0,10.0,-17.0,-4.0,0.0,18.0,18.0,6.0,1.0,-11.0,-4.0,-10.0,-3.0,-6.0,-9.0,-3.0,-16.0,1.0,-14.0,2.0,-12.0,-23.0,-3.0,-22.0,-4.0,-22.0,-1.0,-28.0,2.0,-30.0,8.0,-31.0,14.0,-30.0,10.0,-31.0,20.0,9.0,20.0,-27.0,-23.0,14.0,-25.0,-16.0,15.0,-19.0,13.0,-25.0,14.0,8.0,2503.94
16.0,-3.0,3.0,5.0,-3.0,4.0,-5.0,-2.0,3.0,4.0,15.0,5.0,7.0,3.0,18.0,6.0,22.0,4.0,20.0,-8.0,-5.0,23.0,-11.0,19.0,-7.0,-10.0,26.0,-12.0,18.0,10.0,10.0,-14.0,-16.0,-5.0,-3.0,8.0,-4.0,7.0,1.0,8.0,-2.0,9.0,5.0,15.0,0.0,15.0,0.0,6.0,16.0,17.0,22.0,29.0,5.0,11.0,15.0,11.0,5.0,29.0,7.0,21.0,-10.0,22.0,-2.0,-12.0,-15.0,24.0,32.0,-11.0,29.0,16.0,-11.0,23.0,-14.0,13.0,-11.0,-2.0,2503.94
0.0,-4.0,5.0,0.0,-2.0,0.0,-3.0,12.0,11.0,-8.0,8.0,-8.0,21.0,-12.0,14.0,-6.0,14.0,-12.0,20.0,-18.0,-10.0,22.0,-14.0,22.0,-15.0,-12.0,6.0,-28.0,4.0,0.0,-2.0,-23.0,-13.0,-18.0,-4.0,7.0,4.0,12.0,1.0,8.0,7.0,10.0,10.0,6.0,13.0,16.0,14.0,19.0,9.0,23.0,10.0,23.0,12.0,26.0,6.0,27.0,8.0,29.0,7.0,31.0,-1.0,33.0,-3.0,5.0,-6.0,31.0,36.0,-8.0,26.0,30.0,-6.0,25.0,-3.0,24.0,-7.0,-2.0,2503.95
-32.0,-8.0,9.0,-6.0,8.0,-10.0,11.0,-8.0,-11.0,11.0,-12.0,7.0,-8.0,9.0,-7.0,11.0,-8.0,13.0,-10.0,12.0,10.0,-9.0,12.0,-11.0,7.0,10.0,-9.0,10.0,-3.0,-2.0,0.0,3.0,5.0,7.0,-12.0,-29.0,-11.0,-30.0,-14.0,-34.0,-14.0,-32.0,-17.0,-33.0,-16.0,-31.0,-30.0,-21.0,-30.0,-20.0,-31.0,-21.0,-25.0,-17.0,-20.0,-16.0,-18.0,-12.0,-16.0,-10.0,-18.0,-8.0,-13.0,-12.0,-12.0,2.0,2.0,-9.0,7.0,3.0,-11.0,7.0,-13.0,8.0,-14.0,-12.0,2503.96
16.0,2.0,13.0,11.0,11.0,7.0,16.0,9.0,8.0,16.0,12.0,12.0,8.0,13.0,7.0,13.0,9.0,14.0,10.0,9.0,11.0,10.0,15.0,8.0,8.0,5.0,15.0,4.0,11.0,10.0,7.0,-2.0,-8.0,7.0,28.0,-27.0,25.0,-25.0,24.0,-29.0,25.0,-31.0,24.0,-33.0,22.0,-39.0,-36.0,19.0,-35.0,19.0,-36.0,16.0,-28.0,13.0,-28.0,10.0,-23.0,11.0,-21.0,14.0,-18.0,12.0,-8.0,-7.0,-7.0,11.0,8.0,0.0,15.0,16.0,3.0,12.0,0.0,18.0,5.0,3.0,2503.97
80.0,12.0,-5.0,14.0,-2.0,14.0,-7.0,19.0,15.0,-1.0,13.0,-2.0,13.0,-10.0,16.0,-7.0,14.0,-6.0,14.0,-3.0,-4.0,13.0,-8.0,16.0,-4.0,-5.0,14.0,-6.0,12.0,3.0,6.0,-11.0,-12.0,-7.0,28.0,19.0,29.0,26.0,30.0,23.0,33.0,20.0,32.0,19.0,36.0,17.0,21.0,37.0,11.0,34.0,14.0,32.0,10.0,23.0,11.0,27.0,7.0,20.0,9.0,17.0,8.0,17.0,10.0,7.0,8.0,-2.0,-1.0,11.0,5.0,-2.0,14.0,-4.0,12.0,-2.0,17.0,11.0,2503.97
-48.0,-15.0,-3.0,-13.0,1.0,-12.0,-3.0,-14.0,-14.0,0.0,-16.0,3.0,-14.0,3.0,-16.0,0.0,-15.0,3.0,-13.0,1.0,3.0,-15.0,-3.0,-13.0,-1.0,2.0,-15.0,6.0,-10.0,-6.0,-6.0,7.0,6.0,2.0,-31.0,-13.0,-31.0,-11.0,-34.0,-12.0,-33.0,-8.0,-35.0,-8.0,-36.0,-5.0,-4.0,-36.0,-3.0,-34.0,0.0,-29.0,-9.0,-29.0,4.0,-24.0,-2.0,-24.0,0.0,-18.0,-5.0,-11.0,-10.0,-9.0,-7.0,-4.0,-12.0,-13.0,0.0,-7.0,-13.0,-2.0,-17.0,-5.0,-14.0,-16.0,2503.98
16.0,7.0,-9.0,5.0,-13.0,6.0,-13.0,-1.0,4.0,-16.0,8.0,-17.0,6.0,-14.0,-3.0,-13.0,2.0,-15.0,6.0,-13.0,-18.0,3.0,-15.0,0.0,-13.0,-14.0,-2.0,-7.0,2.0,-5.0,-7.0,-5.0,-2.0,-12.0,5.0,31.0,9.0,29.0,7.0,35.0,14.0,33.0,11.0,35.0,12.0,32.0,33.0,14.0,28.0,14.0,27.0,15.0,28.0,10.0,18.0,11.0,24.0,8.0,14.0,7.0,16.0,5.0,7.0,13.0,8.0,-5.0,-7.0,8.0,-7.0,-9.0,4.0,-7.0,6.0,-10.0,6.0,6.0,2503.98
