subcarrier_0,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_50,subcarrier_52,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_117,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_126,timestamp
-128.0,-27.0,22.0,-37.0,21.0,-13.0,29.0,1.0,-68.0,28.0,-19.0,21.0,-43.0,25.0,-31.0,-27.0,43.0,-55.0,22.0,-46.0,12.0,-51.0,18.0,-43.0,25.0,-42.0,17.0,-51.0,32.0,-33.0,18.0,-47.0,18.0,30.0,-47.0,25.0,-36.0,-25.0,11.0,-22.0,23.0,-23.0,-21.0,-16.0,25.0,26.0,24.0,15.0,25.0,3.0,13.0,19.0,2.0,30.0,-12.0,31.0,-5.0,39.0,-11.0,37.0,-18.0,-9.0,38.0,-8.0,52.0,-14.0,-6.0,52.0,-8.0,38.0,-3.0,54.0,44.0,21.0,42.0,-8.0,41.0,-27.0,34.0,14.0,7.0,1.0,4.0,3.0,-6.0,3316.58
-126.0,-4.0,16.0,-2.0,17.0,-4.0,9.0,9.0,-4.0,12.0,-7.0,19.0,-3.0,12.0,-6.0,-2.0,17.0,-5.0,24.0,-10.0,19.0,-3.0,16.0,-10.0,10.0,-9.0,18.0,-19.0,20.0,-16.0,16.0,-16.0,6.0,8.0,-14.0,4.0,-22.0,-20.0,8.0,-23.0,9.0,-22.0,-22.0,-23.0,-11.0,-5.0,-17.0,-15.0,-2.0,-12.0,-1.0,1.0,-8.0,5.0,-15.0,10.0,-16.0,7.0,-19.0,12.0,-14.0,-12.0,15.0,-6.0,16.0,-9.0,3.0,27.0,3.0,20.0,4.0,21.0,24.0,2.0,20.0,11.0,22.0,4.0,17.0,21.0,21.0,7.0,23.0,3.0,6.0,3316.59
-92.0,4.0,16.0,-1.0,8.0,6.0,17.0,7.0,1.0,23.0,9.0,12.0,-4.0,16.0,-3.0,-2.0,19.0,-8.0,15.0,-6.0,16.0,-6.0,14.0,1.0,12.0,-8.0,19.0,-5.0,17.0,-13.0,12.0,-8.0,6.0,4.0,-17.0,16.0,-19.0,-24.0,1.0,-27.0,11.0,-19.0,-19.0,-19.0,-12.0,6.0,-10.0,-12.0,9.0,-11.0,10.0,17.0,1.0,10.0,-11.0,16.0,-11.0,20.0,-6.0,13.0,4.0,9.0,11.0,7.0,22.0,8.0,12.0,10.0,13.0,15.0,21.0,13.0,10.0,19.0,16.0,20.0,12.0,20.0,15.0,17.0,5.0,24.0,10.0,23.0,9.0,3316.59
-72.0,-8.0,27.0,-11.0,-10.0,-25.0,9.0,-2.0,-27.0,3.0,-20.0,3.0,-16.0,-7.0,-15.0,-20.0,-9.0,-19.0,-10.0,-10.0,4.0,-23.0,-3.0,-21.0,-2.0,-16.0,-6.0,-12.0,0.0,-13.0,-16.0,-20.0,-25.0,-24.0,-7.0,-13.0,-13.0,-3.0,-25.0,-7.0,-16.0,-10.0,3.0,3.0,-10.0,-12.0,-21.0,-14.0,-6.0,-13.0,-3.0,-8.0,-21.0,2.0,-24.0,2.0,-28.0,1.0,-19.0,9.0,-20.0,-18.0,12.0,-10.0,4.0,-5.0,-16.0,11.0,-13.0,9.0,-16.0,13.0,26.0,-15.0,28.0,-8.0,24.0,-10.0,23.0,31.0,21.0,-15.0,15.0,-13.0,-12.0,3316.6
-20.0,-13.0,-9.0,-9.0,-21.0,2.0,-12.0,-8.0,1.0,-10.0,-1.0,-24.0,-3.0,-17.0,-2.0,-10.0,-20.0,-5.0,-24.0,11.0,-24.0,-1.0,-24.0,-5.0,-20.0,-5.0,-21.0,9.0,-21.0,11.0,-24.0,14.0,-14.0,-16.0,13.0,-14.0,16.0,12.0,-10.0,23.0,-18.0,17.0,16.0,26.0,13.0,13.0,9.0,10.0,-7.0,22.0,-10.0,-13.0,13.0,-19.0,1.0,-16.0,0.0,-20.0,5.0,-16.0,8.0,-6.0,-15.0,-1.0,-27.0,-2.0,-2.0,-25.0,-10.0,-20.0,-26.0,-28.0,-21.0,-15.0,-12.0,-12.0,-14.0,-12.0,-16.0,-21.0,-23.0,-17.0,-22.0,-21.0,-17.0,3316.6
9.0,7.0,-18.0,6.0,-8.0,10.0,-16.0,-17.0,11.0,-17.0,9.0,-12.0,10.0,-14.0,15.0,13.0,-11.0,24.0,-15.0,15.0,-12.0,15.0,-14.0,22.0,-10.0,23.0,-6.0,14.0,-7.0,21.0,-3.0,25.0,-1.0,1.0,24.0,-6.0,16.0,28.0,12.0,16.0,7.0,12.0,20.0,10.0,17.0,9.0,13.0,11.0,-5.0,15.0,-1.0,-1.0,14.0,-3.0,20.0,-10.0,11.0,-9.0,21.0,-11.0,13.0,21.0,-12.0,10.0,-21.0,3.0,3.0,-17.0,5.0,-23.0,-4.0,-25.0,-30.0,-4.0,-28.0,-12.0,-26.0,-8.0,-29.0,-26.0,-25.0,-11.0,-27.0,-2.0,1.0,3316.62
9.0,-21.0,7.0,-19.0,2.0,-21.0,1.0,-2.0,-18.0,-2.0,-35.0,-9.0,-29.0,-8.0,-26.0,-26.0,-11.0,-24.0,1.0,-39.0,2.0,-22.0,1.0,-23.0,-7.0,-26.0,-10.0,-27.0,-9.0,-20.0,-12.0,-29.0,-10.0,-13.0,-16.0,-10.0,-20.0,-25.0,-1.0,-14.0,-5.0,-24.0,-20.0,-7.0,7.0,13.0,13.0,2.0,14.0,5.0,9.0,9.0,-9.0,6.0,-9.0,9.0,-8.0,12.0,-4.0,13.0,-3.0,-7.0,8.0,-7.0,15.0,-11.0,-6.0,16.0,-6.0,31.0,-11.0,17.0,21.0,-20.0,13.0,-9.0,19.0,-11.0,18.0,12.0,8.0,-7.0,4.0,0.0,-15.0,3316.65
4.0,-32.0,5.0,-53.0,-20.0,-36.0,8.0,-25.0,-42.0,-23.0,-85.0,-8.0,-65.0,-22.0,-87.0,-39.0,-18.0,-69.0,-7.0,-55.0,-26.0,-70.0,-16.0,-50.0,-10.0,-59.0,-15.0,-61.0,-14.0,-72.0,-15.0,-63.0,-8.0,-13.0,-57.0,-24.0,-50.0,-52.0,-10.0,-39.0,-7.0,-43.0,-32.0,-32.0,-3.0,36.0,-9.0,-5.0,26.0,-18.0,23.0,23.0,-21.0,18.0,-29.0,15.0,-30.0,14.0,-38.0,19.0,-42.0,-44.0,17.0,-41.0,23.0,-36.0,-48.0,32.0,-37.0,43.0,-34.0,37.0,16.0,-14.0,33.0,-31.0,25.0,-40.0,13.0,30.0,23.0,-34.0,28.0,-24.0,-22.0,3316.65
29.0,-31.0,-43.0,-6.0,-44.0,26.0,-48.0,-42.0,22.0,-56.0,3.0,-43.0,-1.0,-51.0,0.0,2.0,-66.0,1.0,-48.0,14.0,-80.0,6.0,-63.0,0.0,-56.0,30.0,-57.0,24.0,-69.0,5.0,-68.0,15.0,-68.0,-61.0,4.0,-65.0,8.0,12.0,-49.0,10.0,-43.0,-3.0,-5.0,2.0,-32.0,16.0,-36.0,-26.0,12.0,-31.0,0.0,-20.0,-33.0,-9.0,-25.0,-8.0,-29.0,-6.0,-35.0,-18.0,-31.0,-41.0,-30.0,-33.0,-21.0,-47.0,-44.0,-12.0,-48.0,-34.0,-51.0,-25.0,-22.0,-50.0,-10.0,-24.0,-8.0,-23.0,-5.0,-20.0,-6.0,10.0,-20.0,-6.0,-2.0,3316.66
-128.0,-5.0,-31.0,23.0,-36.0,1.0,-42.0,-50.0,-36.0,-53.0,-20.0,-46.0,6.0,-70.0,6.0,12.0,-57.0,-10.0,-65.0,-10.0,-69.0,7.0,-90.0,-9.0,-67.0,8.0,-65.0,6.0,-73.0,1.0,-65.0,1.0,-63.0,-58.0,3.0,-58.0,-3.0,-14.0,-52.0,-7.0,-41.0,-3.0,-4.0,-4.0,-36.0,17.0,-25.0,-26.0,6.0,-38.0,-2.0,-12.0,-33.0,-17.0,-29.0,-15.0,-46.0,-24.0,-36.0,-24.0,-35.0,-37.0,-23.0,-41.0,-31.0,-40.0,-41.0,-21.0,-48.0,-25.0,-34.0,-27.0,-27.0,-46.0,-2.0,-36.0,-1.0,-24.0,-30.0,-21.0,-9.0,-27.0,-15.0,10.0,4.0,3316.66
-6.0,-9.0,-2.0,-7.0,-13.0,-7.0,-15.0,-18.0,-13.0,-5.0,-10.0,-8.0,-4.0,-16.0,-10.0,-6.0,-20.0,-11.0,-18.0,-9.0,-14.0,-9.0,-32.0,-14.0,-18.0,-3.0,-17.0,2.0,-16.0,-4.0,-15.0,3.0,-19.0,-14.0,6.0,-19.0,10.0,5.0,-15.0,4.0,-19.0,9.0,16.0,13.0,6.0,-6.0,4.0,8.0,-9.0,8.0,-10.0,-20.0,15.0,-20.0,-8.0,-11.0,5.0,-24.0,-15.0,-24.0,4.0,0.0,-15.0,-12.0,-14.0,-21.0,-11.0,-23.0,-24.0,-13.0,-24.0,-13.0,-13.0,-22.0,-9.0,-17.0,-12.0,-18.0,-2.0,-6.0,-4.0,-26.0,-7.0,-28.0,-9.0,3316.69
80.0,-15.0,-22.0,-49.0,-8.0,-42.0,-7.0,-1.0,-34.0,-6.0,-41.0,-2.0,-54.0,1.0,-46.0,-40.0,-14.0,-47.0,18.0,-57.0,-4.0,-52.0,-14.0,-58.0,6.0,-67.0,-4.0,-62.0,-7.0,-64.0,3.0,-61.0,-6.0,-6.0,-56.0,-4.0,-53.0,-46.0,3.0,-44.0,1.0,-33.0,-27.0,-15.0,-3.0,33.0,-1.0,-15.0,26.0,-14.0,24.0,19.0,-25.0,21.0,-28.0,16.0,-33.0,20.0,-41.0,20.0,-35.0,-38.0,32.0,-53.0,28.0,-42.0,-40.0,34.0,-46.0,32.0,-33.0,27.0,48.0,-23.0,39.0,-32.0,32.0,-33.0,40.0,22.0,30.0,-13.0,19.0,4.0,-48.0,3316.75
98.0,-11.0,0.0,-21.0,-2.0,-10.0,0.0,-8.0,-21.0,0.0,-20.0,-11.0,-16.0,-11.0,-16.0,-20.0,-9.0,-14.0,-3.0,-20.0,-9.0,-12.0,-11.0,-19.0,-12.0,-11.0,-12.0,-11.0,-23.0,-11.0,-6.0,-3.0,-18.0,-22.0,-2.0,-19.0,-1.0,4.0,-26.0,0.0,-16.0,6.0,1.0,11.0,-6.0,-13.0,-15.0,-5.0,-13.0,-3.0,-12.0,-11.0,-10.0,-7.0,-17.0,-7.0,-10.0,-9.0,-22.0,-15.0,-20.0,-17.0,3.0,-17.0,3.0,-11.0,-23.0,12.0,-26.0,12.0,-23.0,11.0,12.0,-16.0,15.0,-17.0,12.0,-19.0,9.0,20.0,9.0,-21.0,12.0,-9.0,-14.0,3316.79
98.0,-5.0,-23.0,-2.0,-17.0,0.0,-14.0,-18.0,2.0,-17.0,1.0,-17.0,-1.0,-19.0,-1.0,-4.0,-23.0,-2.0,-17.0,8.0,-13.0,-2.0,-24.0,6.0,-27.0,8.0,-21.0,9.0,-16.0,14.0,-17.0,13.0,-20.0,-18.0,18.0,-13.0,18.0,19.0,-8.0,20.0,-4.0,21.0,17.0,26.0,14.0,-1.0,10.0,11.0,-1.0,22.0,-3.0,-9.0,10.0,-14.0,12.0,-11.0,10.0,-8.0,11.0,-20.0,3.0,7.0,-17.0,13.0,-23.0,1.0,-9.0,-18.0,0.0,-15.0,-7.0,-22.0,-26.0,-19.0,-24.0,-8.0,-18.0,-19.0,-21.0,-25.0,-17.0,-22.0,-15.0,-16.0,-6.0,3316.82
94.0,-16.0,-5.0,-10.0,-9.0,-8.0,-11.0,-10.0,-2.0,-19.0,-9.0,-19.0,-16.0,-19.0,-8.0,-12.0,-22.0,-9.0,-21.0,-10.0,-22.0,-7.0,-14.0,-9.0,-21.0,-1.0,-22.0,-3.0,-19.0,0.0,-21.0,6.0,-24.0,-20.0,9.0,-19.0,12.0,13.0,-21.0,17.0,-17.0,12.0,14.0,20.0,12.0,-4.0,12.0,9.0,-7.0,10.0,-16.0,-13.0,3.0,-19.0,6.0,-23.0,6.0,-17.0,-3.0,-13.0,-5.0,-7.0,-19.0,-8.0,-20.0,-10.0,-13.0,-20.0,-17.0,-15.0,-10.0,-15.0,-14.0,-22.0,-19.0,-18.0,-8.0,-20.0,-9.0,-9.0,-7.0,-22.0,-10.0,-17.0,-10.0,3316.87
16.0,10.0,10.0,12.0,11.0,5.0,12.0,14.0,11.0,10.0,20.0,11.0,6.0,7.0,10.0,8.0,13.0,6.0,8.0,9.0,8.0,18.0,21.0,16.0,16.0,4.0,15.0,11.0,18.0,7.0,19.0,3.0,18.0,28.0,-8.0,19.0,-8.0,-5.0,16.0,-6.0,18.0,-12.0,-12.0,-11.0,-10.0,8.0,-9.0,-12.0,6.0,-10.0,7.0,10.0,-10.0,10.0,-15.0,18.0,-7.0,14.0,4.0,5.0,1.0,-5.0,19.0,13.0,10.0,6.0,10.0,23.0,20.0,6.0,19.0,12.0,11.0,17.0,14.0,24.0,6.0,12.0,9.0,2.0,7.0,20.0,10.0,14.0,13.0,3316.89
98.0,9.0,12.0,7.0,18.0,-1.0,14.0,17.0,2.0,11.0,2.0,25.0,7.0,18.0,8.0,1.0,21.0,-2.0,23.0,0.0,21.0,2.0,16.0,-1.0,22.0,-4.0,23.0,-3.0,19.0,-4.0,9.0,-4.0,23.0,13.0,-13.0,17.0,-16.0,-18.0,15.0,-16.0,8.0,-20.0,-15.0,-24.0,-16.0,2.0,-10.0,-7.0,4.0,-10.0,10.0,9.0,-9.0,17.0,-7.0,17.0,-4.0,16.0,-1.0,20.0,0.0,8.0,19.0,5.0,25.0,11.0,12.0,17.0,17.0,15.0,18.0,21.0,15.0,18.0,18.0,25.0,13.0,25.0,14.0,13.0,9.0,11.0,14.0,20.0,10.0,3316.91
36.0,-20.0,-8.0,-16.0,-3.0,-16.0,-11.0,-10.0,-9.0,-10.0,-6.0,-12.0,-9.0,-11.0,-11.0,-8.0,-17.0,-18.0,-18.0,-17.0,-19.0,-18.0,-12.0,-14.0,-15.0,-6.0,-16.0,-6.0,-20.0,-8.0,-17.0,-11.0,-18.0,-19.0,1.0,-18.0,-2.0,4.0,-17.0,3.0,-20.0,5.0,4.0,6.0,13.0,-12.0,12.0,11.0,-13.0,12.0,-7.0,-8.0,7.0,-12.0,-1.0,-17.0,6.0,-20.0,-5.0,-11.0,-2.0,-10.0,-19.0,-7.0,-14.0,-11.0,-19.0,-13.0,-17.0,-13.0,-20.0,-17.0,-16.0,-21.0,-6.0,-20.0,-12.0,-19.0,-5.0,-1.0,-12.0,-13.0,0.0,-15.0,-19.0,3316.91
98.0,-20.0,2.0,-20.0,4.0,-13.0,5.0,7.0,-19.0,7.0,-18.0,6.0,-14.0,7.0,-21.0,-21.0,7.0,-29.0,8.0,-24.0,10.0,-20.0,3.0,-19.0,4.0,-20.0,5.0,-25.0,6.0,-26.0,-4.0,-25.0,-7.0,-3.0,-24.0,-7.0,-26.0,-20.0,-8.0,-21.0,-14.0,-19.0,-18.0,-12.0,4.0,-16.0,0.0,-3.0,-17.0,-5.0,-11.0,-16.0,-9.0,-16.0,-12.0,-15.0,-21.0,-16.0,-19.0,-10.0,-19.0,-16.0,0.0,-21.0,4.0,-18.0,-27.0,11.0,-17.0,7.0,-20.0,15.0,12.0,-28.0,14.0,-19.0,12.0,-18.0,13.0,17.0,16.0,-16.0,15.0,-18.0,-17.0,3316.92
94.0,-11.0,14.0,-15.0,5.0,-9.0,15.0,7.0,-21.0,13.0,-21.0,18.0,-18.0,12.0,-19.0,-23.0,7.0,-13.0,14.0,-14.0,12.0,-21.0,7.0,-20.0,10.0,-28.0,11.0,-15.0,12.0,-25.0,11.0,-18.0,12.0,10.0,-21.0,6.0,-15.0,-14.0,12.0,-20.0,11.0,-20.0,-6.0,-4.0,7.0,11.0,7.0,1.0,11.0,5.0,19.0,18.0,4.0,12.0,-4.0,20.0,0.0,21.0,-7.0,20.0,-12.0,4.0,25.0,-1.0,25.0,-5.0,-8.0,32.0,-12.0,18.0,-4.0,30.0,19.0,-2.0,24.0,5.0,25.0,10.0,24.0,15.0,12.0,2.0,9.0,2.0,3.0,3316.95
16.0,-15.0,-9.0,-11.0,-10.0,-18.0,-11.0,-10.0,-13.0,-14.0,-22.0,-11.0,-10.0,-9.0,-19.0,-13.0,-20.0,-17.0,-20.0,-11.0,-13.0,-20.0,-18.0,-20.0,-15.0,-14.0,-20.0,-21.0,-14.0,-12.0,-14.0,-18.0,-15.0,-19.0,-16.0,-13.0,-13.0,-16.0,-6.0,-18.0,-5.0,-19.0,-4.0,-9.0,-12.0,4.0,-14.0,-10.0,1.0,-10.0,3.0,2.0,-20.0,-2.0,-19.0,-5.0,-20.0,-2.0,-28.0,-4.0,-14.0,-21.0,1.0,-25.0,3.0,-23.0,-24.0,5.0,-30.0,2.0,-28.0,-5.0,2.0,-24.0,7.0,-19.0,13.0,-22.0,-1.0,5.0,8.0,-8.0,-2.0,-10.0,-3.0,3316.96
94.0,5.0,-27.0,-35.0,-46.0,6.0,-31.0,-60.0,-19.0,-80.0,-33.0,-46.0,-12.0,-45.0,-22.0,10.0,-64.0,-14.0,-57.0,-8.0,-61.0,-5.0,-64.0,15.0,-55.0,12.0,-49.0,8.0,-70.0,10.0,-65.0,6.0,-57.0,-60.0,12.0,-48.0,5.0,6.0,-44.0,-6.0,-46.0,-1.0,-3.0,3.0,-25.0,25.0,-22.0,-32.0,8.0,-31.0,16.0,10.0,-40.0,5.0,-47.0,15.0,-44.0,-6.0,-57.0,-5.0,-47.0,-59.0,2.0,-63.0,-4.0,-60.0,-62.0,-11.0,-58.0,-4.0,-63.0,8.0,-19.0,-62.0,19.0,-41.0,-4.0,-50.0,-18.0,22.0,-5.0,-37.0,-13.0,-48.0,-3.0,3316.96
36.0,19.0,-33.0,34.0,-4.0,43.0,-37.0,-31.0,9.0,-25.0,31.0,-22.0,44.0,-50.0,65.0,60.0,-52.0,36.0,-42.0,39.0,-21.0,37.0,-35.0,53.0,-26.0,47.0,-30.0,54.0,-37.0,50.0,-27.0,53.0,-27.0,-31.0,48.0,-25.0,50.0,47.0,-20.0,31.0,-30.0,26.0,29.0,18.0,-39.0,-11.0,-28.0,-23.0,-17.0,-23.0,-28.0,-32.0,-22.0,-28.0,-13.0,-41.0,-20.0,-45.0,-15.0,-46.0,-12.0,-11.0,-54.0,-14.0,-65.0,-21.0,-17.0,-56.0,-22.0,-47.0,-28.0,-63.0,-42.0,-9.0,-52.0,-20.0,-62.0,-11.0,-19.0,-21.0,-27.0,-8.0,-28.0,-29.0,6.0,3316.97
80.0,24.0,19.0,25.0,27.0,41.0,21.0,68.0,30.0,21.0,44.0,46.0,69.0,64.0,38.0,31.0,40.0,61.0,36.0,30.0,43.0,34.0,46.0,24.0,48.0,28.0,51.0,25.0,59.0,35.0,57.0,24.0,48.0,53.0,26.0,48.0,30.0,12.0,38.0,23.0,28.0,39.0,14.0,17.0,12.0,-30.0,15.0,15.0,-18.0,31.0,-12.0,-15.0,33.0,-18.0,36.0,-17.0,44.0,-11.0,47.0,-17.0,47.0,69.0,-9.0,64.0,-23.0,59.0,61.0,-23.0,51.0,-30.0,48.0,-13.0,-13.0,48.0,-27.0,53.0,-41.0,31.0,-22.0,-16.0,-33.0,18.0,-8.0,14.0,26.0,3316.98
