subcarrier_0,subcarrier_4,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_53,subcarrier_76,subcarrier_79,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_98,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_110,subcarrier_113,subcarrier_115,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_125,subcarrier_127,timestamp
16.0,18.0,6.0,-2.0,16.0,7.0,16.0,6.0,13.0,4.0,18.0,2.0,17.0,11.0,21.0,10.0,12.0,16.0,8.0,21.0,17.0,10.0,15.0,17.0,13.0,15.0,8.0,23.0,1.0,16.0,0.0,22.0,21.0,-2.0,26.0,-6.0,19.0,-6.0,23.0,23.0,-4.0,13.0,16.0,2.0,19.0,11.0,8.0,21.0,7.0,12.0,12.0,15.0,13.0,13.0,13.0,25.0,17.0,7.0,19.0,3.0,26.0,2.0,26.0,24.0,-1.0,-6.0,-3.0,21.0,16.0,-2.0,3.0,2.0,3343.45
36.0,-6.0,-15.0,-15.0,2.0,-21.0,-2.0,-19.0,-2.0,-22.0,0.0,-15.0,-3.0,-26.0,-1.0,-21.0,1.0,6.0,-26.0,3.0,11.0,-17.0,2.0,-14.0,8.0,-14.0,12.0,-16.0,21.0,-11.0,26.0,-10.0,-6.0,18.0,-8.0,16.0,-5.0,25.0,-2.0,-2.0,13.0,-12.0,-6.0,15.0,-19.0,-10.0,3.0,-18.0,12.0,-12.0,-10.0,7.0,-20.0,-4.0,-8.0,3.0,-7.0,-22.0,-4.0,-26.0,-11.0,-14.0,-18.0,-18.0,-19.0,-15.0,-13.0,-20.0,-20.0,-15.0,-18.0,-11.0,3343.45
80.0,-1.0,-11.0,6.0,-12.0,8.0,-13.0,8.0,-18.0,15.0,-14.0,11.0,-18.0,9.0,-14.0,14.0,-17.0,-17.0,10.0,-15.0,-18.0,6.0,-19.0,0.0,-16.0,1.0,-15.0,-2.0,-12.0,-6.0,-14.0,-5.0,-7.0,-10.0,-6.0,-13.0,-8.0,-7.0,-8.0,-5.0,1.0,-7.0,-5.0,8.0,-5.0,0.0,12.0,2.0,13.0,3.0,8.0,22.0,6.0,21.0,9.0,27.0,30.0,4.0,32.0,7.0,37.0,5.0,38.0,27.0,1.0,-2.0,-1.0,22.0,19.0,-9.0,-3.0,-1.0,3343.47
94.0,-6.0,-12.0,2.0,-19.0,5.0,-15.0,4.0,-19.0,6.0,-14.0,14.0,-22.0,16.0,-29.0,6.0,-12.0,-11.0,18.0,-27.0,-22.0,11.0,-15.0,9.0,-18.0,-3.0,-20.0,10.0,-5.0,0.0,-10.0,-2.0,-5.0,-14.0,-12.0,-1.0,-1.0,-1.0,1.0,0.0,12.0,-8.0,1.0,15.0,4.0,-3.0,10.0,13.0,11.0,10.0,8.0,18.0,28.0,23.0,15.0,21.0,13.0,17.0,16.0,17.0,34.0,22.0,28.0,27.0,13.0,13.0,5.0,27.0,24.0,10.0,4.0,8.0,3343.48
94.0,-6.0,-2.0,19.0,3.0,18.0,-7.0,15.0,-2.0,11.0,-10.0,21.0,-12.0,22.0,-13.0,15.0,3.0,-5.0,13.0,-6.0,-6.0,19.0,-7.0,8.0,-11.0,1.0,-13.0,6.0,-10.0,11.0,-14.0,8.0,-7.0,-9.0,-4.0,-18.0,6.0,-6.0,-4.0,7.0,-1.0,-8.0,-4.0,7.0,-10.0,-4.0,5.0,-10.0,10.0,-5.0,-14.0,20.0,0.0,22.0,-8.0,18.0,19.0,-20.0,24.0,-5.0,23.0,-16.0,29.0,14.0,-17.0,-23.0,-10.0,9.0,9.0,-14.0,-6.0,-9.0,3343.48
90.0,-9.0,-15.0,10.0,-6.0,2.0,-18.0,3.0,-13.0,7.0,-9.0,22.0,-18.0,21.0,-19.0,3.0,-23.0,-14.0,22.0,-16.0,-17.0,13.0,-7.0,9.0,-12.0,10.0,-10.0,2.0,-16.0,9.0,-11.0,11.0,9.0,-6.0,-4.0,-11.0,13.0,-15.0,-6.0,-14.0,16.0,5.0,3.0,13.0,6.0,10.0,12.0,15.0,0.0,19.0,21.0,15.0,13.0,15.0,23.0,15.0,12.0,23.0,29.0,22.0,19.0,19.0,24.0,18.0,17.0,8.0,8.0,15.0,18.0,2.0,0.0,0.0,3343.49
98.0,35.0,26.0,-25.0,29.0,-19.0,25.0,-26.0,26.0,-4.0,40.0,-1.0,62.0,-1.0,38.0,-16.0,61.0,51.0,12.0,27.0,42.0,10.0,37.0,23.0,33.0,9.0,24.0,18.0,21.0,19.0,20.0,21.0,39.0,10.0,11.0,4.0,15.0,11.0,21.0,7.0,-9.0,6.0,-5.0,-15.0,-14.0,-14.0,-24.0,-21.0,-16.0,-35.0,-38.0,-22.0,-39.0,-33.0,-41.0,-36.0,-47.0,-62.0,-61.0,-63.0,-63.0,-49.0,-48.0,-43.0,-29.0,-29.0,-31.0,-40.0,-45.0,-26.0,-15.0,-1.0,3343.49
16.0,-32.0,1.0,-41.0,-19.0,-25.0,0.0,-45.0,-6.0,-51.0,-12.0,-50.0,-24.0,-54.0,-9.0,-16.0,-24.0,-20.0,-49.0,10.0,0.0,-30.0,1.0,-36.0,7.0,-36.0,10.0,-35.0,22.0,-26.0,24.0,-19.0,-27.0,20.0,-20.0,19.0,-21.0,14.0,-13.0,-11.0,23.0,10.0,8.0,-10.0,18.0,14.0,-17.0,22.0,-27.0,25.0,30.0,-43.0,38.0,-50.0,46.0,-44.0,-61.0,55.0,-58.0,58.0,-41.0,63.0,-57.0,-45.0,51.0,61.0,59.0,8.0,-21.0,41.0,12.0,17.0,3343.5
36.0,-32.0,4.0,-12.0,-12.0,-21.0,-11.0,-29.0,17.0,-41.0,-7.0,-43.0,17.0,-46.0,-10.0,-40.0,10.0,-3.0,-44.0,5.0,7.0,-37.0,15.0,-37.0,8.0,-25.0,26.0,-17.0,21.0,-26.0,23.0,-12.0,-22.0,25.0,-7.0,19.0,-14.0,17.0,-14.0,-6.0,20.0,10.0,16.0,-9.0,16.0,25.0,-18.0,14.0,-37.0,21.0,22.0,-48.0,26.0,-51.0,31.0,-58.0,-66.0,40.0,-62.0,43.0,-64.0,51.0,-48.0,-41.0,53.0,42.0,55.0,-35.0,-35.0,36.0,21.0,4.0,3343.51
94.0,13.0,34.0,11.0,35.0,-13.0,31.0,-6.0,40.0,-14.0,36.0,-11.0,45.0,-23.0,43.0,-19.0,42.0,43.0,-22.0,40.0,47.0,-17.0,40.0,-2.0,23.0,-4.0,27.0,10.0,32.0,9.0,24.0,12.0,17.0,30.0,15.0,17.0,9.0,19.0,14.0,13.0,-16.0,11.0,-5.0,-14.0,-11.0,-14.0,-24.0,-20.0,-19.0,-30.0,-28.0,-32.0,-36.0,-34.0,-38.0,-44.0,-60.0,-60.0,-49.0,-52.0,-52.0,-44.0,-68.0,-64.0,-37.0,-33.0,-15.0,-55.0,-51.0,-27.0,-5.0,-26.0,3343.51
94.0,-16.0,17.0,22.0,-11.0,45.0,8.0,46.0,10.0,47.0,13.0,45.0,4.0,51.0,5.0,45.0,-2.0,7.0,30.0,11.0,13.0,39.0,-7.0,34.0,-13.0,29.0,-19.0,19.0,-13.0,23.0,-21.0,20.0,7.0,-27.0,15.0,-24.0,11.0,-15.0,10.0,7.0,-17.0,-18.0,-18.0,3.0,-21.0,-16.0,21.0,-22.0,25.0,-29.0,-36.0,38.0,-38.0,41.0,-43.0,52.0,58.0,-54.0,55.0,-55.0,46.0,-64.0,48.0,39.0,-47.0,-51.0,-42.0,28.0,0.0,-17.0,-46.0,-20.0,3343.52
90.0,12.0,12.0,0.0,10.0,11.0,8.0,8.0,20.0,12.0,10.0,18.0,15.0,11.0,13.0,9.0,15.0,14.0,21.0,15.0,12.0,17.0,8.0,12.0,7.0,10.0,7.0,22.0,0.0,21.0,-5.0,16.0,24.0,-8.0,18.0,-7.0,23.0,-11.0,18.0,19.0,-6.0,14.0,14.0,3.0,11.0,18.0,1.0,14.0,-1.0,15.0,14.0,8.0,23.0,8.0,14.0,11.0,13.0,12.0,16.0,5.0,22.0,5.0,15.0,19.0,2.0,-8.0,-6.0,17.0,23.0,-7.0,1.0,-2.0,3343.53
90.0,4.0,12.0,-3.0,9.0,-4.0,21.0,-8.0,20.0,-1.0,13.0,-1.0,19.0,0.0,18.0,3.0,18.0,14.0,-5.0,14.0,12.0,4.0,19.0,9.0,16.0,8.0,23.0,9.0,17.0,5.0,9.0,10.0,17.0,11.0,17.0,11.0,14.0,2.0,20.0,18.0,5.0,11.0,9.0,5.0,15.0,12.0,11.0,10.0,11.0,6.0,3.0,18.0,6.0,20.0,-1.0,16.0,18.0,-7.0,18.0,-13.0,23.0,-9.0,17.0,17.0,-16.0,-12.0,-13.0,14.0,15.0,-12.0,-15.0,-8.0,3343.54
90.0,-12.0,-13.0,-6.0,-7.0,-16.0,-14.0,-14.0,-9.0,-19.0,-12.0,-20.0,-15.0,-18.0,-23.0,-18.0,-17.0,-11.0,-23.0,-20.0,-11.0,-24.0,-7.0,-27.0,-7.0,-21.0,-8.0,-15.0,1.0,-27.0,9.0,-23.0,-22.0,15.0,-29.0,15.0,-16.0,14.0,-17.0,-18.0,11.0,-18.0,-15.0,4.0,-16.0,-16.0,-1.0,-16.0,-8.0,-19.0,-15.0,-11.0,-19.0,-14.0,-18.0,-14.0,-18.0,-12.0,-25.0,-7.0,-27.0,-11.0,-27.0,-26.0,-2.0,1.0,-2.0,-20.0,-27.0,-1.0,-6.0,-2.0,3343.55
-108.0,-5.0,-6.0,-18.0,-16.0,-15.0,-10.0,-24.0,-12.0,-20.0,-10.0,-19.0,-10.0,-23.0,-12.0,-25.0,-16.0,-9.0,-25.0,-11.0,-7.0,-23.0,-3.0,-25.0,-2.0,-24.0,-3.0,-20.0,4.0,-23.0,0.0,-22.0,-22.0,1.0,-18.0,-2.0,-18.0,-3.0,-19.0,-17.0,-2.0,19.0,17.0,-9.0,16.0,16.0,-13.0,15.0,-17.0,15.0,19.0,-26.0,16.0,-27.0,19.0,-27.0,-27.0,21.0,-27.0,23.0,-29.0,29.0,-26.0,-19.0,23.0,24.0,23.0,-9.0,-9.0,13.0,8.0,5.0,3343.58
