subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_46,subcarrier_48,subcarrier_49,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_86,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_122,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-46.0,32.0,13.0,21.0,9.0,21.0,-1.0,18.0,11.0,12.0,24.0,13.0,24.0,0.0,15.0,7.0,24.0,4.0,18.0,2.0,17.0,18.0,12.0,17.0,4.0,23.0,10.0,10.0,4.0,23.0,10.0,17.0,15.0,7.0,22.0,9.0,15.0,19.0,7.0,13.0,9.0,5.0,10.0,3.0,15.0,0.0,5.0,4.0,-4.0,8.0,-8.0,-3.0,-19.0,5.0,-19.0,3.0,-21.0,11.0,-21.0,-5.0,-29.0,-5.0,1.0,-24.0,6.0,-24.0,-24.0,-1.0,-25.0,7.0,-17.0,9.0,-14.0,-5.0,-2.0,3.0,-3.0,-7.0,-12.0,7.0,-5.0,3.0,0.0,7.0,5.0,1.0,5.0,3454.38
-66.0,-32.0,11.0,-8.0,-19.0,0.0,-19.0,6.0,-22.0,-27.0,12.0,-31.0,0.0,-33.0,2.0,-27.0,-5.0,-30.0,1.0,-37.0,-7.0,-4.0,-28.0,5.0,-18.0,4.0,-17.0,15.0,-18.0,8.0,-15.0,9.0,-18.0,3.0,-6.0,8.0,13.0,-9.0,6.0,2.0,6.0,-19.0,-8.0,6.0,-10.0,3.0,-14.0,14.0,4.0,0.0,11.0,7.0,9.0,14.0,2.0,14.0,8.0,26.0,5.0,28.0,5.0,23.0,17.0,11.0,17.0,5.0,1.0,29.0,12.0,23.0,8.0,19.0,0.0,15.0,-2.0,11.0,15.0,14.0,0.0,6.0,7.0,7.0,4.0,6.0,1.0,8.0,-7.0,3454.39
-46.0,32.0,13.0,-38.0,2.0,-29.0,-11.0,-18.0,-35.0,-11.0,-33.0,-24.0,-46.0,-21.0,-48.0,-5.0,-26.0,-15.0,-43.0,-15.0,-45.0,-29.0,-20.0,-32.0,-16.0,-42.0,-7.0,-31.0,-15.0,-25.0,-19.0,-29.0,-20.0,-20.0,-16.0,-34.0,-18.0,-6.0,-23.0,-17.0,-25.0,-10.0,-13.0,-20.0,-7.0,-7.0,-16.0,-2.0,6.0,-8.0,10.0,26.0,28.0,-3.0,37.0,0.0,43.0,5.0,39.0,7.0,44.0,2.0,4.0,42.0,13.0,41.0,43.0,4.0,34.0,6.0,33.0,11.0,34.0,5.0,38.0,11.0,18.0,-5.0,22.0,-18.0,11.0,-2.0,0.0,0.0,-12.0,-10.0,-27.0,3454.39
-87.0,-111.0,26.0,21.0,18.0,23.0,11.0,11.0,23.0,4.0,24.0,14.0,17.0,8.0,22.0,12.0,27.0,16.0,20.0,17.0,17.0,16.0,10.0,11.0,20.0,21.0,15.0,13.0,12.0,12.0,21.0,16.0,13.0,0.0,16.0,4.0,0.0,4.0,-2.0,0.0,2.0,12.0,18.0,5.0,19.0,0.0,-1.0,-7.0,-6.0,13.0,-2.0,-9.0,-21.0,5.0,-21.0,2.0,-17.0,2.0,-25.0,14.0,-29.0,-1.0,6.0,-20.0,13.0,-29.0,-23.0,15.0,-30.0,9.0,-22.0,-1.0,-12.0,11.0,-17.0,10.0,-7.0,5.0,-2.0,11.0,-4.0,12.0,-1.0,7.0,9.0,12.0,12.0,3454.48
-67.0,-47.0,27.0,-25.0,20.0,-6.0,22.0,2.0,52.0,41.0,-18.0,34.0,-2.0,29.0,-20.0,29.0,-38.0,35.0,-12.0,34.0,-23.0,-30.0,53.0,-26.0,33.0,-15.0,38.0,-25.0,20.0,-32.0,29.0,-31.0,24.0,-24.0,16.0,-32.0,-30.0,11.0,-19.0,-12.0,-22.0,4.0,5.0,-18.0,5.0,-6.0,7.0,-11.0,-4.0,-13.0,-13.0,0.0,-10.0,-33.0,-10.0,-32.0,-10.0,-36.0,-6.0,-39.0,-13.0,-33.0,-37.0,-11.0,-44.0,-10.0,-9.0,-33.0,-12.0,-43.0,-15.0,-31.0,-19.0,-45.0,-15.0,-22.0,-29.0,-27.0,-29.0,-20.0,-25.0,-6.0,-29.0,-23.0,0.0,-19.0,-9.0,3454.49
-48.0,0.0,13.0,5.0,-32.0,33.0,-14.0,35.0,-13.0,-17.0,48.0,-45.0,41.0,-8.0,31.0,-29.0,48.0,-12.0,20.0,-4.0,33.0,44.0,-33.0,20.0,-20.0,21.0,-19.0,30.0,-15.0,33.0,-16.0,34.0,-12.0,26.0,-8.0,23.0,26.0,2.0,16.0,12.0,12.0,-4.0,0.0,17.0,12.0,9.0,3.0,8.0,0.0,6.0,0.0,-8.0,5.0,35.0,-7.0,44.0,-10.0,37.0,0.0,44.0,-11.0,46.0,49.0,-6.0,38.0,-5.0,-11.0,43.0,-4.0,39.0,-15.0,33.0,-9.0,27.0,1.0,32.0,19.0,33.0,-4.0,23.0,16.0,33.0,9.0,29.0,-2.0,24.0,1.0,3454.49
125.0,-47.0,23.0,-44.0,-39.0,-24.0,-6.0,-35.0,-20.0,-1.0,-25.0,-8.0,-47.0,-2.0,-52.0,-14.0,-53.0,1.0,-60.0,-19.0,-32.0,-34.0,-24.0,-32.0,-8.0,-51.0,-31.0,-30.0,-20.0,-31.0,-26.0,-17.0,-10.0,-21.0,-19.0,-16.0,-17.0,-14.0,-1.0,-7.0,-2.0,-14.0,-12.0,-9.0,-10.0,-4.0,-6.0,1.0,10.0,-4.0,16.0,24.0,29.0,-11.0,35.0,-15.0,35.0,-19.0,43.0,-11.0,38.0,-22.0,-17.0,40.0,-9.0,31.0,38.0,-10.0,50.0,-13.0,27.0,-12.0,29.0,-29.0,22.0,-19.0,19.0,-10.0,8.0,-25.0,8.0,-10.0,-2.0,-1.0,-56.0,-7.0,-37.0,3454.5
-84.0,-64.0,10.0,7.0,-27.0,3.0,-32.0,-3.0,-29.0,-32.0,1.0,-39.0,-6.0,-33.0,10.0,-37.0,-8.0,-29.0,-2.0,-39.0,-7.0,7.0,-42.0,17.0,-26.0,7.0,-17.0,17.0,-23.0,14.0,-26.0,11.0,-25.0,16.0,-22.0,25.0,11.0,-15.0,17.0,21.0,9.0,-14.0,2.0,19.0,-17.0,0.0,-2.0,8.0,1.0,2.0,1.0,25.0,26.0,1.0,18.0,-8.0,26.0,0.0,33.0,16.0,31.0,11.0,4.0,24.0,-6.0,19.0,15.0,8.0,37.0,0.0,30.0,1.0,25.0,-1.0,28.0,-1.0,24.0,-9.0,22.0,0.0,24.0,-9.0,11.0,16.0,-27.0,9.0,-17.0,3454.51
-64.0,0.0,12.0,-21.0,-5.0,-21.0,3.0,-21.0,10.0,7.0,-22.0,10.0,-30.0,9.0,-23.0,7.0,-27.0,6.0,-24.0,11.0,-20.0,-27.0,1.0,-23.0,-1.0,-18.0,10.0,-18.0,-6.0,-24.0,2.0,-17.0,-7.0,-17.0,-5.0,-19.0,-8.0,-11.0,2.0,-12.0,-2.0,-16.0,-6.0,-8.0,2.0,-2.0,3.0,-12.0,3.0,2.0,2.0,-5.0,0.0,-12.0,7.0,-23.0,7.0,-21.0,-9.0,-17.0,9.0,-24.0,-18.0,7.0,-20.0,8.0,-5.0,-23.0,-6.0,-22.0,3.0,-23.0,0.0,-18.0,-8.0,-12.0,-9.0,-5.0,-2.0,-12.0,-11.0,-1.0,-9.0,-10.0,-5.0,-7.0,-10.0,3454.51
98.0,32.0,6.0,-9.0,10.0,-11.0,13.0,-17.0,11.0,13.0,-26.0,11.0,-11.0,11.0,-13.0,21.0,-14.0,18.0,-27.0,22.0,-12.0,-10.0,17.0,-17.0,10.0,-23.0,15.0,-14.0,1.0,-22.0,-3.0,-21.0,5.0,-17.0,5.0,-18.0,-17.0,-6.0,-11.0,-14.0,-13.0,3.0,-2.0,-13.0,-12.0,-8.0,7.0,-2.0,-4.0,-2.0,-9.0,-15.0,-25.0,-6.0,-22.0,-4.0,-23.0,-6.0,-20.0,-14.0,-22.0,-11.0,-11.0,-22.0,-17.0,-14.0,-27.0,-17.0,-30.0,-10.0,-23.0,-11.0,-20.0,-1.0,-16.0,-6.0,-16.0,7.0,-17.0,8.0,-9.0,0.0,-13.0,-16.0,2.0,-10.0,6.0,3454.52
