subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
94.0,-32.0,5.0,-21.0,-6.0,-13.0,-11.0,-8.0,3397.9
94.0,-32.0,5.0,-21.0,24.0,-9.0,24.0,-10.0,3397.9
125.0,-48.0,7.0,-31.0,-9.0,-39.0,-10.0,-16.0,3397.95
-111.0,16.0,9.0,9.0,-41.0,-8.0,-41.0,11.0,3397.96
-51.0,-48.0,12.0,22.0,-30.0,29.0,-36.0,3.0,3397.96
-128.0,0.0,8.0,-29.0,-26.0,11.0,-53.0,18.0,3397.97
-91.0,80.0,10.0,-44.0,-7.0,-15.0,-9.0,-36.0,3397.98
-71.0,-112.0,11.0,-7.0,-33.0,10.0,-11.0,6.0,3397.98
-10.0,96.0,15.0,32.0,-25.0,20.0,-9.0,27.0,3397.99
86.0,96.0,5.0,39.0,1.0,38.0,2.0,52.0,3397.99
86.0,96.0,5.0,24.0,24.0,19.0,33.0,19.0,3398.0
94.0,-32.0,5.0,2.0,27.0,2.0,22.0,-3.0,3398.0
114.0,33.0,23.0,-18.0,3.0,-5.0,-2.0,-13.0,3398.06
108.0,-64.0,6.0,-18.0,23.0,-13.0,-3.0,-28.0,3398.06
98.0,32.0,6.0,6.0,14.0,9.0,2.0,6.0,3398.07
-68.0,-64.0,11.0,-1.0,-13.0,11.0,-11.0,7.0,3398.16
-83.0,-48.0,10.0,-9.0,-12.0,-26.0,1.0,0.0,3398.16
-63.0,16.0,12.0,-1.0,-12.0,-31.0,1.0,-13.0,3398.17
-71.0,-112.0,11.0,-4.0,14.0,-2.0,15.0,-29.0,3398.17
-40.0,-127.0,29.0,-18.0,-2.0,-41.0,14.0,-24.0,3398.18
-20.0,-63.0,30.0,-4.0,-2.0,-3.0,-7.0,18.0,3398.19
86.0,96.0,5.0,-19.0,-5.0,-31.0,-8.0,-28.0,3398.19
94.0,-32.0,5.0,0.0,-21.0,13.0,-6.0,2.0,3398.2
-119.0,-112.0,8.0,5.0,-6.0,7.0,-1.0,11.0,3398.2
20.0,65.0,17.0,1.0,-6.0,-3.0,-9.0,9.0,3398.24
97.0,17.0,22.0,1.0,1.0,5.0,6.0,4.0,3398.25
74.0,-95.0,20.0,-3.0,0.0,-8.0,-6.0,-16.0,3398.26
94.0,-32.0,5.0,1.0,-2.0,9.0,11.0,-18.0,3398.27
95.0,-15.0,21.0,-6.0,20.0,11.0,-8.0,0.0,3398.27
75.0,-79.0,20.0,3.0,4.0,9.0,9.0,7.0,3398.28
94.0,-32.0,5.0,2.0,0.0,5.0,19.0,11.0,3398.28
20.0,65.0,17.0,-3.0,-18.0,1.0,-5.0,2.0,3398.29
94.0,-32.0,5.0,-7.0,-2.0,-9.0,12.0,4.0,3398.29
98.0,32.0,6.0,5.0,-1.0,-1.0,9.0,8.0,3398.3
-88.0,-128.0,10.0,-8.0,14.0,-3.0,25.0,-1.0,3398.31
94.0,-32.0,5.0,0.0,14.0,6.0,13.0,20.0,3398.31
-126.0,32.0,8.0,-8.0,7.0,-12.0,1.0,-9.0,3398.32
-128.0,0.0,8.0,-10.0,2.0,-6.0,3.0,-6.0,3398.33
-126.0,32.0,8.0,-12.0,-7.0,-12.0,-7.0,-10.0,3398.34
98.0,32.0,6.0,4.0,-3.0,13.0,-12.0,7.0,3398.36
98.0,32.0,6.0,-11.0,23.0,9.0,30.0,17.0,3398.37
-128.0,0.0,8.0,-25.0,-10.0,-8.0,-6.0,-24.0,3398.37
-2.0,-32.0,15.0,-35.0,22.0,-8.0,16.0,-14.0,3398.38
-126.0,32.0,8.0,5.0,-16.0,18.0,-9.0,20.0,3398.38
-98.0,-32.0,9.0,3.0,0.0,9.0,27.0,-3.0,3398.39
94.0,-32.0,5.0,-23.0,-20.0,-19.0,-8.0,-47.0,3398.4
94.0,-32.0,5.0,-17.0,3.0,-9.0,15.0,2.0,3398.4
94.0,-32.0,5.0,6.0,-5.0,9.0,-12.0,32.0,3398.41
-98.0,-32.0,9.0,4.0,-32.0,14.0,-25.0,10.0,3398.41
-53.0,-80.0,12.0,-14.0,-4.0,-11.0,-2.0,-6.0,3398.42
-46.0,32.0,13.0,15.0,-6.0,9.0,-9.0,9.0,3398.42
98.0,32.0,6.0,3.0,-9.0,-6.0,-10.0,-4.0,3398.43
-53.0,-80.0,12.0,-14.0,-5.0,-8.0,-13.0,-15.0,3398.46
-34.0,-30.0,45.0,5.0,18.0,35.0,13.0,37.0,3398.47
-66.0,-32.0,11.0,-8.0,-12.0,-3.0,-12.0,12.0,3398.48
-46.0,32.0,13.0,1.0,25.0,7.0,16.0,33.0,3398.48
98.0,32.0,6.0,-7.0,-11.0,-8.0,-12.0,-10.0,3398.49
-98.0,-32.0,9.0,15.0,-1.0,12.0,0.0,15.0,3398.49
94.0,-32.0,5.0,5.0,21.0,0.0,28.0,11.0,3398.5
-98.0,-32.0,9.0,14.0,-20.0,14.0,6.0,22.0,3398.5
90.0,-96.0,5.0,8.0,0.0,6.0,-7.0,11.0,3398.51
-34.0,-30.0,45.0,7.0,2.0,1.0,1.0,-1.0,3398.52
90.0,-96.0,5.0,5.0,-5.0,4.0,-10.0,0.0,3398.52
-98.0,-32.0,9.0,2.0,8.0,10.0,14.0,-3.0,3398.53
-115.0,-48.0,8.0,3.0,7.0,-5.0,9.0,4.0,3398.53
-66.0,-32.0,11.0,7.0,-10.0,4.0,-6.0,3.0,3398.54
-95.0,16.0,10.0,-14.0,-1.0,-12.0,-3.0,-13.0,3398.54
30.0,-32.0,1.0,3.0,0.0,7.0,5.0,14.0,3398.55
-34.0,-30.0,45.0,5.0,-7.0,4.0,-16.0,13.0,3398.57
-98.0,-32.0,9.0,15.0,-17.0,16.0,-9.0,9.0,3398.57
86.0,96.0,5.0,26.0,-9.0,26.0,5.0,23.0,3398.58
94.0,-32.0,5.0,26.0,26.0,0.0,34.0,7.0,3398.59
-98.0,-32.0,9.0,25.0,-2.0,6.0,1.0,18.0,3398.59
-115.0,-48.0,8.0,6.0,9.0,8.0,15.0,-1.0,3398.6
-95.0,16.0,10.0,8.0,7.0,2.0,16.0,5.0,3398.6
-66.0,-32.0,11.0,-7.0,-13.0,36.0,9.0,35.0,3398.61
-46.0,32.0,13.0,15.0,26.0,15.0,24.0,25.0,3398.61
-128.0,0.0,8.0,-7.0,-10.0,-24.0,-28.0,-25.0,3398.62
94.0,-32.0,5.0,-1.0,-7.0,14.0,3.0,5.0,3398.67
94.0,-32.0,5.0,-14.0,14.0,-33.0,-22.0,-21.0,3398.68
115.0,50.0,39.0,-34.0,21.0,-26.0,2.0,-12.0,3398.68
-121.0,114.0,40.0,-11.0,-4.0,-9.0,-33.0,-8.0,3398.69
73.0,-111.0,20.0,-29.0,-17.0,-2.0,-29.0,-8.0,3398.69
93.0,-47.0,21.0,19.0,5.0,28.0,-4.0,27.0,3398.7
94.0,-32.0,5.0,9.0,10.0,26.0,18.0,9.0,3398.7
108.0,-64.0,6.0,0.0,-4.0,4.0,1.0,9.0,3398.74
-108.0,64.0,9.0,1.0,-2.0,-6.0,-6.0,-4.0,3398.75
-108.0,64.0,9.0,4.0,2.0,-6.0,-7.0,-6.0,3398.75
108.0,-64.0,6.0,1.0,5.0,-14.0,2.0,-17.0,3398.77
-1.0,-16.0,15.0,-8.0,15.0,-14.0,9.0,-14.0,3398.78
-128.0,0.0,8.0,26.0,5.0,7.0,16.0,15.0,3398.78
108.0,-64.0,6.0,12.0,-25.0,23.0,-15.0,16.0,3398.79
-108.0,64.0,9.0,-10.0,-17.0,-9.0,-12.0,-4.0,3398.79
80.0,0.0,5.0,-18.0,17.0,-13.0,32.0,-39.0,3398.8
80.0,0.0,5.0,-7.0,0.0,-8.0,3.0,-35.0,3398.81
-122.0,97.0,24.0,-13.0,17.0,-28.0,7.0,-31.0,3398.81
98.0,32.0,6.0,-11.0,-12.0,4.0,-17.0,-2.0,3398.82
98.0,32.0,6.0,13.0,-5.0,12.0,13.0,15.0,3398.82
94.0,-32.0,5.0,-3.0,-3.0,-5.0,-13.0,-20.0,3398.87
-26.0,97.0,30.0,-11.0,15.0,-17.0,16.0,-24.0,3398.88
-6.0,-95.0,31.0,-4.0,11.0,13.0,-11.0,18.0,3398.89
94.0,-32.0,5.0,-11.0,25.0,-21.0,17.0,-10.0,3398.89
80.0,0.0,5.0,1.0,3.0,3.0,5.0,5.0,3398.9
-128.0,0.0,8.0,1.0,3.0,-1.0,-8.0,2.0,3398.9
-128.0,0.0,8.0,-2.0,8.0,-11.0,6.0,1.0,3398.95
-128.0,0.0,8.0,3.0,19.0,-7.0,13.0,-9.0,3398.98
-128.0,0.0,8.0,12.0,2.0,33.0,34.0,17.0,3398.98
