Subcarrier,Lag,Cross-Correlation
1,-32,-0.8176450458327023
1,-31,-1.6352900916654045
1,-30,-2.4529351374981068
1,-29,-3.270580183330809
1,-28,-4.088225229163511
1,-27,-4.905870274996213
1,-26,-5.7235153208289145
1,-25,-6.541160366661616
1,-24,-7.358805412494318
1,-23,-8.17645045832702
1,-22,-8.994095504159722
1,-21,-9.811740549992424
1,-20,-10.629385595825125
1,-19,-11.447030641657827
1,-18,-12.264675687490529
1,-17,-13.082320733323236
1,-16,-13.899965779155938
1,-15,-14.71761082498864
1,-14,-15.535255870821342
1,-13,-16.352900916654043
1,-12,-17.170545962486745
1,-11,-17.988191008319447
1,-10,-18.80583605415215
1,-9,-19.62348109998485
1,-8,-20.441126145817552
1,-7,-21.258771191650254
1,-6,-22.076416237482956
1,-5,-22.894061283315658
1,-4,-23.71170632914836
1,-3,-24.52935137498106
1,-2,-25.346996420813763
1,-1,-26.164641466646472
1,0,-26.982286512479174
1,1,-26.164641466646472
1,2,-25.346996420813763
1,3,-24.52935137498106
1,4,-23.71170632914836
1,5,-22.894061283315658
1,6,-22.076416237482956
1,7,-21.258771191650254
1,8,-20.441126145817552
1,9,-19.62348109998485
1,10,-18.80583605415215
1,11,-17.988191008319447
1,12,-17.170545962486745
1,13,-16.352900916654043
1,14,-15.535255870821342
1,15,-14.71761082498864
1,16,-13.899965779155938
1,17,-13.082320733323236
1,18,-12.264675687490529
1,19,-11.447030641657827
1,20,-10.629385595825125
1,21,-9.811740549992424
1,22,-8.994095504159722
1,23,-8.17645045832702
1,24,-7.358805412494318
1,25,-6.541160366661616
1,26,-5.7235153208289145
1,27,-4.905870274996213
1,28,-4.088225229163511
1,29,-3.270580183330809
1,30,-2.4529351374981068
1,31,-1.6352900916654045
1,32,-0.8176450458327023
2,-32,0.0
2,-31,0.0
2,-30,0.0
2,-29,0.0
2,-28,0.0
2,-27,0.0
2,-26,0.0
2,-25,0.0
2,-24,0.0
2,-23,0.0
2,-22,0.0
2,-21,0.0
2,-20,0.0
2,-19,0.0
2,-18,0.0
2,-17,0.0
2,-16,0.0
2,-15,0.0
2,-14,0.0
2,-13,0.0
2,-12,0.0
2,-11,0.0
2,-10,0.0
2,-9,0.0
2,-8,0.0
2,-7,0.0
2,-6,0.0
2,-5,0.0
2,-4,0.0
2,-3,0.0
2,-2,0.0
2,-1,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.0
2,32,0.0
3,-32,0.229696844839896
3,-31,-0.10145616511025268
3,-30,-0.21476282471103972
